TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER
"Zinco, chumbo e cádmio em plantas de arroz (Oryza Sativa L.) cultivadas em solo após adição de resíduo siderúrgico",2008,10.1590/s0103-84782008000700012,Inglês,Ciência Rural (UFSM. Impresso),B1,0103-8478,"['André Fernão Martins de Andrade', 'Nelson Moura Brasil do Amaral Sobrinho', 'Marcio Osvaldo Lima Magalhães', 'Vinicius Sampaio do Nascimento', 'Nelson Mazur']","['1', '2', '3', '4', '5']"
Correção química e fitoestabilização de um resíduo industrial contaminado com Zn e Cd,2007,10.1590/s0103-90162007000500008,Inglês,Scientia Agrícola (USP. Impresso),A1,0103-9016,"['Fabiana Soares dos Santos', 'Marcio Osvaldo Lima Magalhães', 'Nelson Mazur', 'Nelson Moura Brasil do Amaral Sobrinho']","['1', '2', '3', '4']"
"Atributos químicos do solo e ocorrência de fungos micorrízicos sob áreas de pastagem e sistema agroflorestal, Brasil",2009,,Português,Acta Agronomica,B2,0120-2812,"['Arcangelo Loss', 'Guilherme Augusto Robles Angelini', 'Ana Carolina Callegário Pereira', 'Otavio Raimundo Lã', 'Marcio Osvaldo Lima Magalhães', 'Eliane Maria Ribeiro da Silva', 'Orivaldo Jose Saggin Junior']","['1', '2', '3', '4', '5', '6', '7']"
Eficiência de Produtos Alcalinos e Orgânico na Imobilização de Cádmio Presente em um resíduo Perigoso,2004,,Português,Revista Universidade Rural. Série Ciências da Vida (Cessou em 2007. Cont. ISSN 1983-4772 Revista de Ciências da Vida),VAZIO,0104-7264,"['Vinícius sampaio do Nascimento', 'Rosiane Sales Pinheiro', 'Fabiana Soares dos Santos', 'Marcio Osvaldo Lima Magalhães', 'Clarice de Oliveira', 'Nelson Moura Brasil do Amaral Sobrinho']","['1', '2', '3', '4', '5', '6']"
Potencial de duas espécies de eucalipto na fitoestabilização de solo contaminado com zinco,2011,10.1590/S1806-66902011000300029,Inglês,Revista Ciência Agronômica (UFC. Online),B1,1806-6690,"['Marcio Osvaldo Lima Magalhães', 'Nelson Moura Brasil do Amaral Sobrinho', 'Fabiana Soares dos Santos', 'Nelson Mazur']","['1', '2', '3', '4']"
USO DE RESÍDUOS INDUSTRIAIS NA REMEDIAÇÃO DE SOLO CONTAMINADO COM CÁDMIO E ZINCO,2011,,Português,Ciência Florestal (UFSM. Impresso),B1,0103-9954,"['Marcio Osvaldo Lima Magalhães', 'Nelson Moura Brasil do Amaral Sobrinho', 'Nelson Mazur']","['1', '2', '3']"
Mobilidade de bário em solo tratado com sulfato de bário sob condição de oxidação e redução,2011,10.1590/s0100-40422011000900012,Inglês,Química Nova (Impresso),B1,0100-4042,"['Marcio Osvaldo Lima Magalhães', 'Nelson Moura Brasil do Amaral Sobrinho', 'Everaldo Zonta', 'Leilane da Silva Lima', 'Filipe Soares Diniz de Paiva']","['1', '2', '3', '4', '5']"
Desempenho de duas espécies de eucalipto em solo com elevados teores de Mn,2012,,Português,Revista Brasileira de Engenharia Agrícola e Ambiental (Impresso),B1,1415-4366,"['Marcio Osvaldo Lima Magalhães', 'Nelson Moura do Amaral Sobrinho', 'Nelson Mazur', 'Hugo Maia Machado', 'Jesus Sampaio Junior']","['1', '2', '3', '4', '5']"
"Use of in the Phytostabilization of Substrates from Excavations of the Ore Courtyard at the Port of Itaguai, Brazil",2013,10.1080/15320383.2013.733446,Inglês,Soil &amp; Sediment Contamination,B1,1532-0383,"['Marcio Osvaldo Lima Magalhães', 'Ana Carolina Callegario Pereira', 'Nelson Moura Brasil do Amaral Sobrinho', 'Alfredo Tolón Becerra', 'Nelson Mazur', 'Xavier Lastra']","['1', '1', '2', '3', '5', '6']"
Effect of variations in the redox potential of Gleysol on barium mobility and absorption in rice plants,2012,10.1016/j.chemosphere.2012.04.060,Inglês,Chemosphere (Oxford),A1,0045-6535,"['Marcio Osvaldo Lima Magalhães', 'Nelson Moura Brasil do Amaral Sobrinho', 'Everaldo Zonta', 'Michel Miranda de Carvalho', 'Alfredo Tolón Becerra']","['1', '2', '3', '4', '5']"
Absorção de bário por plantas de arroz (Oryza sativa L.) e mobilidade em solo tratado com baritina sob diferentes condições de potencial redox,2012,10.1590/S0100-40422012000900008,Inglês,Química Nova (Impresso),B1,0100-4042,"['Marcio Osvaldo Lima Magalhães', 'Erica Souto Abreu de Lima', 'Nelson Moura Brasil do Amaral Sobrinho', 'Jair do Nascimento Guedes', 'Everaldo Zonta']","['1', '1', '2', '4', '5']"
Reducing conditions on barium absorption in rice plants cultured in BaSO4-enriched soil,2014,,Inglês,Acta Scientiarum. Agronomy (Impresso),A2,1679-9275,"['Marcio Osvaldo Lima Magalhães', 'Nelson Moura Brasil do Amaral Sobrinho', 'Everaldo Zonta', 'Alfredo Tolón Becerra', 'Xavier Bolívar Lastra-Bravo', 'Izabella Bezerra Coutinho']","['1', '2', '3', '4', '5', '6']"
EDTA-induced phytoextraction of lead and barium by brachiaria (B. decumbens cv. Basilisk) in soil contaminated by oil exploration drilling waste,2014,,Inglês,Acta Scientiarum. Agronomy (Impresso),A2,1679-9275,"['André Fernão Martins de Andrade', 'Nelson Moura Brasil do Amaral Sobrinho', 'Fabiana Soares dos Santos', 'Marcio Osvaldo Lima Magalhães', 'Alfredo Tolón Becerra', 'Leilane da Silva Lima']","['1', '2', '3', '4', '5', '6']"
The Effects of Oil Well Drill Cuttings on Soil and Rice Plant Development (Oryza sativa) Under Two Redox Conditions,2014,10.1007/s00128-014-1196-7,Inglês,Bulletin of Environmental Contamination and Toxicology,B1,0007-4861,"['Marcio Osvaldo Lima Magalhães', 'Nelson Moura do Amaral Sobrinho', 'Everaldo Zonta', 'Bruna Faria Simões', 'Amanda Guimarães de Mattos', 'Alfredo Tolón Becerra', 'Xavier Bolívar Lastra-Bravo']","['1', '2', '3', '4', '5', '6', '7']"
Natural content of heavy metals on cattle regions soils of Mayabeque and Artemisa province in Cuba,2013,,Inglês,Cuban Journal of Agricultural Science,B2,0864-0408,"['Nelson Moura Brasil do Amaral Sobrinho', 'José M. Febles González', 'Yusimí Pérez López', 'Jair do Nascimento Guedes', 'Marcio Osvaldo Lima Magalhães', 'Hugo José de Oliveira Zoffoli']","['1', '2', '3', '4', '5', '6']"
"Relation among the processes of erosion-sedimentation-pollution in soils from the Distrito Pecuario ?Alturas de Nazareno?, Cuba",2014,,Português,Cuban Journal of Agricultural Science,B2,0864-0408,"['José M. Febles González', 'Nelson Moura Brasil do Amaral Sobrinho', 'Yusimí Pérez López', 'Hugo José de Oliveira Zoffoli', 'Marcio Osvaldo Lima Magalhães', 'Jair do Nascimento Guedes']","['1', '2', '3', '4', '5', '6']"
Barium and sodium in sunflower plants cultivated in soil treated with wastes of drilling of oil well,2015,10.1590/1807-1929/agriambi.v19n11p1100-1106,Inglês,Revista Brasileira de Engenharia Agrícola e Ambiental (Online),B1,1807-1929,"['SAMPAIO JUNIOR, JÉSUS', 'AMARAL, NELSON M. B. DO', 'Everaldo Zonta', 'Marcio Osvaldo Lima Magalhães']","['1', '2', '3', '4']"
Spatial variability and solubility of barium in a petroleum well-drilling waste disposal area,2018,10.1007/s10661-018-6566-x,Inglês,ENVIRONMENTAL MONITORING AND ASSESSMENT (DORDRECHT. ONLINE),B3,1573-2959,"['DO AMARAL SOBRINHO, NELSON MOURA BRASIL', 'CEDDIA, MARCOS BACIS', 'Everaldo Zonta', 'Marcio Osvaldo Lima Magalhães', 'DE FREITAS, FÁBIO CARDOSO', 'LIMA, ERICA SOUTO ABREU']","['1', '2', '3', '4', '5', '6']"
Toxicity of Drilling Waste from Oil Wells on Oligochaeta,2018,10.1590/2179-8087.032016,Português,FLORAM,B1,2179-8087,"['MACHADO, HUGO MAIA', 'Nelson Moura Brasil do Amaral Sobrinho', 'CORREIA, MARIA ELIZABETH FERNANDES', 'Marcio Osvaldo Lima Magalhães', 'LIMA, ERICA SOUTO ABREU']","['1', '2', '3', '4', '5']"
Contenido de elementos metálicos en suelos característicos del municipio San José de las Lajas,2012,,Espanhol,Revista Ciencias Técnicas Agropecuarias,B5,1010-2760,"['Yusimí Pérez López', 'Nelson Moura Brasil do Amaral Sobrinho', 'Maria Irene Balbin Arias', 'Ramiro Valdés Carmenate', 'Marcio Osvaldo Lima Magalhães']","['1', '2', '3', '4', '5']"
