PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
"XVI SEAGRO - Semana acadêmica da agronomia ¨Cultura, segurança alimentar e extensão rural: a compreensão da conjuntura para",2003,2003,OUTRA,"['José Roberto Rambo', 'JOSÉ MARCOS FROEHLICH', 'ANDREIA NUNES SA BRITO', 'LEANDRO DALBIANCO', 'LUCIANO ROZALINO', 'PAULO LUIS GUTH', 'ROGERIO PIETRZACKA', 'JULIANO DALCIN MARTINS', 'ALEXANDRE MARTINS GUIMARÃES', 'ALEXANDRE TEN CATEN', 'CARLOS ALBERTO CASALI', 'CARLOS EVANDRO LEITE RITTER', 'ELVIO IZAIAS DA SILVA', 'EMERSON DALLA CHIEZA', 'IGOR DE BEARZI', 'JONES SIMON', 'MARCELO JAKOBY', 'MARCOS ROBERTO DIEHL', 'GERUSA PAULI KIST', 'LUÍS RENATO JASNIEWICZ', 'ALINE FRANKEN', 'ANDRE CARLOS CRUZ COPETTI', 'DEBORA DA CUNHA MOSTARDEIRO', 'ITALO LUDKE', 'JULIANO RICARDO FARIAS', 'RICARDO BATISTA CEREZER DELLAMEA', 'VINICIUS PICCIN DALBIANCO', 'CARLA DANIELE SAUSEN']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
A GESTÃO DO RECURSOS NATURAIS PRODUTIVOS: O AGRONOMO COMO AGENTE DE DESENVOLVIMENTO.,2004,2004,OUTRA,"['José Roberto Rambo', 'JOSÉ MARCOS FROEHLICH', 'ANDREIA NUNES SA BRITO', 'LEANDRO DALBIANCO', 'LUCIANO ROZALINO', 'MARCOS PAULO LUDWIG', 'PAULO LUIS GUTH', 'ROGERIO PIETRZACKA', 'LEANDRO PRADO RIBEIRO', 'JULIANO DALCIN MARTINS', 'ALESSANDRO SAMUEL ROSA', 'JOSE CARLOS CAZAROTTO MADALOZ', 'MAURICIO BIGOLIN', 'MIKE ESTEBAN GUZMAN TORRES']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
AÇÕES INTEGRADAS EM EDUCAÇÃO AMBIENTAL E COMBATE A POBREZA EM PEQUENA PROPRIEDADES NA MICROBACIA HIDROGRÁFICA DO ARROIO LIN,2001,2001,EXTENSAO,"['José Roberto Rambo', 'Danilo Rheinheimer dos Santos', 'José Miguel Reichert', 'Marcelo Fornalski Soares', 'Sinval Ledur Kist', 'Celso Silva Gonçalves', 'Émerson Varlei Wohlenberg', 'João Batista Rossetto Pellegrini', 'Rodrigo Siqueira Machado', 'José Maria de Freitas Beskow', 'Alister Gaspareto']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Formação extracurricular dos estudantes de agronomia,2002,2003,OUTRA,"['José Roberto Rambo', 'ANDREIA NUNES SA BRITO', 'LEANDRO DALBIANCO', 'THOMÉ LOVATO', 'ALEXANDRE MARTINS GUIMARÃES', 'ALEXANDRE TEN CATEN', 'CARLOS ALBERTO CASALI', 'CARLOS EVANDRO LEITE RITTER', 'ELVIO IZAIAS DA SILVA', 'EMERSON DALLA CHIEZA', 'IGOR DE BEARZI', 'JONES SIMON', 'MARCELO JAKOBY', 'MARCOS ROBERTO DIEHL', 'PAULO ROBERTO DULLIUS']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Semana da calourada do curso de Agronomia,2003,2005,OUTRA,"['José Roberto Rambo', 'ANDREIA NUNES SA BRITO', 'LEANDRO DALBIANCO', 'THOMÉ LOVATO', 'ALEXANDRE MARTINS GUIMARÃES', 'ALEXANDRE TEN CATEN', 'CARLOS ALBERTO CASALI', 'CARLOS EVANDRO LEITE RITTER', 'ELVIO IZAIAS DA SILVA', 'EMERSON DALLA CHIEZA', 'IGOR DE BEARZI', 'JONES SIMON', 'MARCELO JAKOBY', 'MARCOS ROBERTO DIEHL', 'PAULO ROBERTO DULLIUS']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
PROJETO PILOTO DE ASSISTÊNCIA TÉCNICA PLANIFICADA AOS ASSENTAMENTOS DE REFORMA AGRÁRIA E AGRICULTORES FAMILIARES,2005,2006,EXTENSAO,"['José Roberto Rambo', 'JOSÉ MARCOS FROEHLICH', 'MARCELO JAKOBY', 'PEDRO SELVINO NEUMANN', 'MARCO AZAMBUZA ALVES', 'JACIR JOÃO CHIES']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO']"
Reflexos da Formação Profissional: Tecnologia Sustentável e o Papel Social da Terra - XV SEAGRO Semana Acadêmica da Agronomia,2002,2002,OUTRA,"['José Roberto Rambo', 'JUAREZ MORBINI LOPES', 'GERUSA PAULI KIST', 'LEOCIR JORGE ZORTÉA', 'ADRIANO RUDI MAIXNER', 'LUÍS RENATO JASNIEWICZ', 'MARTA GRELLMANN', 'RAFAEL VIVIAN', 'SAMUEL ROGGIA']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Programa Agronomia no Campo: a agroecologia e a cultura cabocla em questão.,2007,2007,EXTENSAO,"['José Roberto Rambo', 'Gilmar Laforga', 'Astor Henrique Nied']","['NAO', 'SIM', 'NAO']"
Agronomia em Boletins Técnicos,2009,2011,EXTENSAO,"['José Roberto Rambo', 'Astor Henrique Nied', 'Rivanildo Dallacort', 'Suzana Pereira de Melo']","['NAO', 'SIM', 'NAO', 'NAO']"
Utilização de Plantas Medicinais na Comunidade de Tangará da Serra,2009,2011,EXTENSAO,"['José Roberto Rambo', 'Suzana Pereira de Melo', 'Marice Cristine Vendruscolo']","['NAO', 'NAO', 'SIM']"
