TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK
Educação solidária e formação omnilateral,2004,Português,Unemat Editora,['Ilma Ferreira Machado'],['1'],['1']
Qual a organização curricular necessária à escola do campo?,2008,Português,Editora da UFSC,['Ilma Ferreira Machado'],['1'],['1']
.Por uma Pedagogia Coletiva.,2006,Português,Editora da Unemat,['Ilma Ferreira Machado'],['1'],['1']
A relação trabalho educação nas experiências escolares do MST,2011,Português,Expressão Popular,"['Celia Regina Vendramini', 'Ilma Ferreira Machado']","['1', '2']",['2']
Dimensões de uma educação coletiva e do campo,2012,Português,Editora da UFMT,"['Lindalva Maria Novaes Garske', 'Erica Virgilio R. da Cunha', 'Ilma Ferreira Machado']","['1', '2', '3']",['3']
"Universidade, Trabalho docente e mudanças no mundo do trabalho",2012,Português,Editora Sulina,['Ilma Ferreira Machado'],['1'],['1']
Qual formação para os sujeitos das escolas do campo?,2013,Português,Ed. Unijuí,"['Rosângela Pereira de Oliveira', 'Ilma Ferreira Machado']","['1', '2']",['2']
Relação trabalho educação em escolas do campo,2012,Português,Ed. UFMS,['Ilma Ferreira Machado'],['1'],['1']
Intencionalidades educativas na educação do campo e a busca de cidadania,2014,Português,EdUFMT,['Ilma Ferreira Machado'],['1'],['1']
Projeto Político-pedagógico e concepções de educação do/no campo em escolas de Cáceres/MT,2015,Português,Editora da Unemat,"['Roseli ferreira Lima', 'Ana Paula do Amaral', 'Ilma Ferreira Machado']","['1', '2', '3']",['3']
Constituição de identidades na educação do campo,2015,Português,Unika,"['Roseli ferreira Lima', 'GENTIL, HELOISA SALLES', 'Ilma Ferreira Machado']","['1', '2', '3']",['3']
Algumas reflexões sobre a prática pedagógica e a docência na educação do campo,2015,Português,Ed. UFMS,['Ilma Ferreira Machado'],['1'],['1']
Planejamento pedagógico: uma ação dialógica e coletiva em uma escola do campo,2015,Português,EdUFMT,"['Clézia de A. T. Morais', 'Ilma Ferreira Machado']","['1', '2']",['2']
Desafios da prática pedagógica em uma escola estadual do campo no município de São domingos-MT,2015,Português,EdUFMT,"['Fabíola Aparecida da Silva', 'Ilma Ferreira Machado']","['1', '2']",['2']
Educação do campo e a pedagogia da alternância: os desafios da educação popular ocupando o Estado,2017,Português,CRV,"['Rosângela Pereira de Oliveira', 'Ilma Ferreira Machado']","['1', '2']",['2']
PEGADAS DA EDUCAÇÃO DO CAMPO NA REGIÃO DO ARAGUAIA-MT,2017,Português,Editora Unemat,"['Maria de Lourdes Jorge de Sousa', 'Ilma Ferreira Machado']","['1', '2']",['2']
Por uma educação do campo de perspectiva intercultural,2018,Português,Ed. Oeste,"['Maria de Lourdes Jorge de Sousa', 'Ilma Ferreira Machado']","['1', '2']",['2']
A socioeconomia solidária- a justa trama da UNIVENS,2014,Português,Editora da UNEMAT,"['Rosângela Pereira de Oliveira', 'Ilma Ferreira Machado']","['1', '2']",['2']
