ID,NATURE,TITLE,YEAR,AUTHOR,ORDER,ORDER_OK,ID_CNPQ
3275865819287843,RESUMO,Utilização de sistema de posicionamento global (GPS) e teodolito em área piloto de agricultura de precisão,1999,"['Rafael Cesar Tieppo', 'Jerry Adriani Johann', 'Denise Mahl', 'Eduardo Godoy de Souza']","['1', '2', '3', '4']",1,"['3275865819287843', '3499704308301708', '', '8600401135679947']"
3275865819287843,RESUMO,Software planejamento racional de propriedades agrícolas - PRAPRAG,2000,"['Carlos Antonio Antes', 'Rafael Cesar Tieppo', 'Erivelto Mercante', 'Jerry Adriani Johann', 'Eduardo Godoy de Souza']","['1', '2', '3', '4', '5']",2,"['', '3275865819287843', '4061800207647478', '3499704308301708', '8600401135679947']"
3275865819287843,RESUMO,Determinação da umidade do solo por reflectometria no domínio do tempo,2000,"['Carlos Antonio Antes', 'Alcir José Modolo', 'Rafael Cesar Tieppo', 'Márcio Furlan Maggi', 'Erivelto Mercante', 'Cindia Sordi', 'Jerry Adriani Johann']","['1', '2', '3', '4', '5', '6', '7']",3,"['', '7372544499267795', '3275865819287843', '', '4061800207647478', '', '3499704308301708']"
3275865819287843,COMPLETO,Software para otimização operacional e econômica de máquinas de pulverização terrestre,2000,"['Alcir José Modolo', 'Erivelto Mercante', 'Rafael Cesar Tieppo', 'Fábio Wronski', 'Antonio Gabriel Filho', 'Jerry Adriani Johann', 'Eduardo Godoy de Souza']","['1', '2', '3', '4', '5', '6', '7']",3,"['7372544499267795', '4061800207647478', '3275865819287843', '', '1161542543125873', '3499704308301708', '8600401135679947']"
3275865819287843,RESUMO,Variabilidade espacial dos atributos químicos do solo e da produtividade em uma área piloto de agricultura de precisão,2000,"['Carlos Antonio Antes', 'Rafael Cesar Tieppo', 'Márcio Furlan Maggi', 'Jerry Adriani Johann', 'Erivelto Mercante', 'Eduardo Godoy de Souza']","['1', '2', '3', '4', '5', '6']",2,"['', '3275865819287843', '', '3499704308301708', '4061800207647478', '8600401135679947']"
3275865819287843,RESUMO,Estudo da resistência do solo a penetração em diferentes profundidades em uma área piloto de agricultura de precisão,2000,"['Márcio Furlan Maggi', 'Cindia Sordi', 'Rafael Cesar Tieppo', 'Carlos Antonio Antes', 'Erivelto Mercante', 'Reny Adilmar Prestes Lopes', 'Jerry Adriani Johann']","['1', '2', '3', '4', '5', '6', '7']",3,"['', '', '3275865819287843', '', '4061800207647478', '', '3499704308301708']"
3275865819287843,RESUMO_EXPANDIDO,Desenvolvimento e avaliação do desempenho do módulo planejamento agrícola do software palnejamento racional de propriedades agrícolas - PRAPRAG,2001,"['Carlos Antonio Antes', 'Antonio Gabriel Filho', 'Miguel Angel Uribe Opazo', 'Eduardo Godoy de Souza', 'Jerry Adriani Johann', 'Erivelto Mercante', 'Alcir José Modolo', 'Fábio Wronski', 'Rafael Cesar Tieppo']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",9,"['', '1161542543125873', '', '8600401135679947', '3499704308301708', '4061800207647478', '7372544499267795', '', '3275865819287843']"
3275865819287843,RESUMO,Análise econômica ds aplicação localizada de insumos (NPK) na cultura do trigo em uma área piloto de agricultura de precisão,2000,"['Rafael Cesar Tieppo', 'Alcir José Modolo', 'Márcio Furlan Maggi', 'Cindia Sordi', 'Erivelto Mercante', 'Jerry Adriani Johann', 'Lúcia Helena Pereira Nóbrega', 'Eduardo Godoy de Souza']","['1', '2', '3', '4', '5', '6', '7', '8']",1,"['3275865819287843', '7372544499267795', '', '', '4061800207647478', '3499704308301708', '', '8600401135679947']"
3275865819287843,RESUMO,Análise comparativa da produtividade de trigo entre o método convencional e de agricultura de precisão,2000,"['Rafael Cesar Tieppo', 'Carlos Antonio Antes', 'Jerry Adriani Johann', 'Erivelto Mercante', 'Eduardo Godoy de Souza']","['1', '2', '3', '4', '5']",1,"['3275865819287843', '', '3499704308301708', '4061800207647478', '8600401135679947']"
3275865819287843,RESUMO,Variabilidade Espacial do teor volumétrico de água no solo em latossolo roxo distrófico usando refletometria no domínio do tempo,2000,"['Rafael Cesar Tieppo', 'Alcir José Modolo', 'Carlos Antonio Antes', 'Márcio Furlan Maggi', 'Erivelto Mercante', 'Cindia Sordi', 'Jerry Adriani Johann']","['1', '2', '3', '4', '5', '6', '7']",1,"['3275865819287843', '7372544499267795', '', '', '4061800207647478', '', '3499704308301708']"
3275865819287843,COMPLETO,Software para otimização operacional e econômica de aeronaves agrícolas de asa fixa,2000,"['Rafael Cesar Tieppo', 'Erivelto Mercante', 'Alcir José Modolo', 'Fábio Wronski', 'Antonio Gabriel Filho', 'Jerry Adriani Johann', 'Eduardo Godoy de Souza']","['1', '2', '3', '4', '5', '6', '7']",1,"['3275865819287843', '4061800207647478', '7372544499267795', '', '1161542543125873', '3499704308301708', '8600401135679947']"
3275865819287843,RESUMO,Comparação da variabilidade espacial e da produtividade de trigo entre o método convencional e de agricultura de precisão,2000,"['Rafael Cesar Tieppo', 'Jerry Adriani Johann', 'Erivelto Mercante', 'Eduardo Godoy de Souza']","['1', '2', '3', '4']",1,"['3275865819287843', '3499704308301708', '4061800207647478', '8600401135679947']"
3275865819287843,RESUMO_EXPANDIDO,Avaliação de diferentes interpoladores na geração de mapas temáticos da produtividade de soja em agricultura de precisão,2001,"['Rafael Cesar Tieppo', 'Jerry Adriani Johann', 'Miguel Angel Uribe Opazo', 'Eduardo Godoy de Souza']","['1', '2', '3', '4']",1,"['3275865819287843', '3499704308301708', '', '8600401135679947']"
3275865819287843,RESUMO_EXPANDIDO,Desenvolvimento de um penetrômetro eletrônico,2003,"['Rafael Cesar Tieppo', 'Antonio Gabriel Filho', 'Suedêmio de Lima Silva', 'Estor Gnoatto']","['1', '2', '3', '4']",1,"['3275865819287843', '1161542543125873', '6113069815332176', '']"
3275865819287843,RESUMO_EXPANDIDO,Consumo de combustível em trator com pneus novos e usados,2003,"['Douglas Guedes Batista Torres', 'Antonio Gabriel Filho', 'Suedêmio de Lima Silva', 'Marlon Costa', 'Rafael Cesar Tieppo']","['1', '2', '3', '4', '5']",5,"['0414723368368962', '1161542543125873', '6113069815332176', '', '3275865819287843']"
3275865819287843,RESUMO,Distribuição Longitudinal de plantas de milho em função da velocidade de deslocamento e do tipo de mecanismo sulcador,2004,"['Arnaldo Baldessin Junior', 'Douglas Guedes Batista Torres', 'Fabio Boligon', 'Rafael Cesar Tieppo', 'João Cleber Modernel da Silveira', 'Antonio Gabriel Filho']","['1', '2', '3', '4', '5', '6']",4,"['', '0414723368368962', '', '3275865819287843', '6026354894511396', '1161542543125873']"
3275865819287843,RESUMO,Requerimento de tração e potência de uma semeadora-adubadora em função da velocidade de deslocamento,2004,"['Douglas Guedes Batista Torres', 'Antonio Gabriel Filho', 'Arnaldo Baldessin Junior', 'Fabio Boligon', 'Rafael Cesar Tieppo', 'João Cleber Modernel da Silveira']","['1', '2', '3', '4', '5', '6']",5,"['0414723368368962', '1161542543125873', '', '', '3275865819287843', '6026354894511396']"
3275865819287843,RESUMO_EXPANDIDO,Uniformidade de distribuição de plantas e estande de milho (zea mays l.) Em função do mecanismo dosador de sementes e da velocidade de deslocamento da semeadora,2004,"['João Cleber Modernel da Silveira', 'Rafael Cesar Tieppo', 'Antonio Gabriel Filho', 'Danielle Patrícia Gentilini', 'Arnaldo Baldessin Junior', 'Douglas Guedes Batista Torres']","['1', '2', '3', '4', '5', '6']",2,"['6026354894511396', '3275865819287843', '1161542543125873', '', '', '0414723368368962']"
3275865819287843,RESUMO_EXPANDIDO,AVALIAÇÃO DE DIFERENTES INTERPOLADORES NA GERAÇÃO DE MAPAS TEMÁTICOS DA PRODUTIVIDADE DE SOJA EM AGRICULTURA DE PRECISÃO,2007,"['Rafael Cesar Tieppo', 'Eduardo Godoy de Souza', 'Miguel Angel Uribe Opazo', 'João Cleber Modernel da Silveira']","['1', '2', '3', '4']",1,"['3275865819287843', '8600401135679947', '', '6026354894511396']"
3275865819287843,RESUMO_EXPANDIDO,FOS (Fertilizer Optimization System) - Sistema Computacional para Otimização na Seleção Racional de Fertilizantes,2009,"['Rafael Cesar Tieppo', 'CASSIANO CREMON', 'Luís César da Silva']","['1', '2', '3']",1,"['3275865819287843', '1121973097293558', '']"
3275865819287843,RESUMO_EXPANDIDO,Desenvolvimento de um penetrógrafo de bancada,2009,"['CASSIANO CREMON', 'Daniel de Lima Silva Júnior', 'Rafael Cesar Tieppo', 'Milson Evaldo Serafim']","['1', '2', '3', '4']",3,"['1121973097293558', '', '3275865819287843', '']"
3275865819287843,COMPLETO,Análise de interpoladores na geração de mapas de precipitação para o Estado de Mato Grosso,2010,"['Rafael Cesar Tieppo', 'Clayton César Pereira Nunes', 'Rivanildo Dallacort', 'Carlos Ricardo Fietz', 'Eder Comunello', 'CASSIANO CREMON']","['1', '2', '3', '4', '5', '6']",1,"['', '', '1292986021348016', '', '', '1121973097293558']"
3275865819287843,RESUMO_EXPANDIDO,"Comportamento da temperatura do ar no município de sinop ? MT, nas épocas de 1979 a 1989 e 1998 a 2009",2011,"['Rodrigo Garcia Garcia', 'Rivanildo Dallacort', 'Rafael Cesar Tieppo', 'Adalberto Santi']","['1', '2', '3', '4']",3,"['', '1292986021348016', '', '2300099357169820']"
3275865819287843,RESUMO_EXPANDIDO,Comportamento das médias pluviométricas mensais em anos normais e com a ocorrência de El Niño oscilação sul no município de diamantino ? MT,2011,"['HENRIQUE DA C. RAMOS', 'Rivanildo Dallacort', 'Rafael Cesar Tieppo', 'MIRIAM H. INOUE', 'Cristiano Santos']","['1', '2', '3', '4', '5']",3,"['', '1292986021348016', '', '', '']"
3275865819287843,RESUMO_EXPANDIDO,Atributos físicos de um neossolo quartzarênico órtico submetido a diferentes usos,2011,"['João Carlos S. Maia', 'Aloísio Bianchini', 'Rafael Cesar Tieppo', 'Adalberto Santi', 'Ana Paula B. Lima']","['1', '2', '3', '4', '5']",3,"['', '', '', '2300099357169820', '']"
3275865819287843,RESUMO_EXPANDIDO,Predição do consumo de combustível em operações com trator agrícola,2014,"['Rafael Cesar Tieppo', 'João Cleber Modernel da Silveira', 'MILAN, MARCOS', 'ROMANELLI, THIAGO L.']","['1', '2', '3', '4']",1,"['', '6026354894511396', '', '3275865819287843']"
3275865819287843,RESUMO_EXPANDIDO,Estimativa do kc do feijoeiro pelo método de soma térmica em Tangará da Serra ? MT,2014,"['Willian Fenner', 'Rivanildo Dallacort', 'Rafael Cesar Tieppo', 'SANTI, ADALBERTO', 'Kássio de Marco']","['1', '2', '3', '4', '5']",3,"['', '1292986021348016', '', '', '']"
