TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK
de Kant a Freud: a sociabilidade insociável da humanidade,1997,,Português,Revista Mediações (UEL),XX,1414-0543,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck']","['1', '2']",['1']
o que é consciência crítica?,2001,,Português,Revista Urutágua (Online),C ,1519-6178,['Josiane Magalhães'],['1'],['1']
Relações de trabalho no Brasil: o movimento autogestionário ccmo resposta a globalização daa economia e seus reflexos no mercado de trabalho,2001,,Português,Revista Urutágua (Online),C ,1519-6178,['Josiane Magalhães'],['1'],['1']
Qual sindicalismo que queremos?,1999,,Português,Revista do IEEE América Latina,XX,0000-0000,['Josiane Magalhães'],['1'],['1']
"Autonomia universitária: uma análise da autonomiadas universidades estaduais públicas paulistas sua herança histórica, aspectos jurídicos, administrativos e políticos.",2000,,Português,Teses e Dissertações,XX,0172-7848,['Josiane Magalhães'],['1'],['1']
A formação da consciência crítica e o ensino de ciências,2002,,Português,Revista Urutágua (Online),C ,1519-6178,['Josiane Magalhães'],['1'],['1']
A construção do ícone feminino: aspectos da influência cultural na constituição da identidade feminina,2003,,Português,Estudos (Marília),XX,1415-8108,['Josiane Magalhães'],['1'],['1']
O processo educacional formal e a construção do social determinando a construção da consciência,2004,,Português,Revista da Faculdade de Educação. Universidade do Estado de Mato Grosso,C ,1679-4273,['Josiane Magalhães'],['1'],['1']
Os professores e a atribuição de causalidade ao sucesso e ao fracasso escolar,2004,,Português,Revista da Faculdade de Educação. Universidade do Estado de Mato Grosso,C ,1679-4273,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck', 'Renata Lourenço', 'José Augusto da Silva Pontes Neto']","['1', '2', '3', '4']",['1']
"Processos de construção sociais, movimentos autogestionários e consciência crírica",2004,,Português,ORG &amp; DEMO (UNESP. MARÍLIA),XX,1519-0110,['Josiane Magalhães'],['1'],['1']
Ordo cognoscendi e orde essendi : comentários acerca das reflexões de Paul Ricoeur às Meditações de Descartes,2005,,Português,Site Consciencia.org,XX,-,['Josiane Magalhães'],['1'],['1']
Estudo sobre a fidelidade à palavra empenhada: a constituição moral de crianças e adolescentes da rede pública e privada de ensino fundamental na cidade de Cáceres MT,2005,,Português,Revista Urutágua (Online),C ,1519-6178,['Josiane Magalhães'],['1'],['1']
Variabilidade e adaptação na sociedade humana,2004,,Português,Estudos (Marília),XX,1415-8108,"['Josiane Magalhães', 'Ricardo Antonio de Paulos']","['1', '2']",['1']
MOTIVOS PARA IMPLANTAÇÃO DE HORTA DOMÉSTICA EM CÁCERES-MT-BRASIL,2010,,Português,Revista de Ciências Agro-Ambientais (Impresso),XX,1679-1509,"['RAQUEL BORGES SILVA', 'SANTINO SEABRA JUNIOR', 'Josiane Magalhães', 'CARLA SIMONE GIROTTO DE ALMEIDA PINA BARELLI']","['1', '2', '3', '4']",['3']
A Educação como elemento de sobreposição da cultura escrita à cultura oral,2010,,Português,Ensaios Pedagógicos (Lages),XX,1679-3617,"['Josiane Magalhães', 'MARANHÃO, Eduardo Meinberg']","['1', '2']",['1']
"Ensino a Distância, Educação Ambiental e Políticas Estruturantes : entrecruzamentos do século XXI",2009,,Português,História Agora,XX,1982-209X,"['Josiane Magalhães', 'MARANHÃO, Eduardo Meinberg']","['1', '2']",['1']
Ordo Cognoscendi e Ordo essendi:comentários acerca das reflexões de Paul Ricoeur às Meditações de René Descartes,2014,,Português,Revista Portuguesa de História do Livro,A2,0874-1336,['Josiane Magalhães'],['1'],['1']
Caracterização as áreas geradoras de oportunidades de trabalho que se apresentam para a população jovem (masculina e feminina) no município de Cáceres/MT,2013,,Português,"Anais da 5ª Jornada Científica da UNEMAT - 5ª JC, da Universidade do Estado de Mato Grosso - UNEMAT",XX,2178-7492,"['talita gomes de oliveira', 'Josiane Magalhães']","['1', '2']",['2']
POLITICAS PUBLICAS X REALIDADE SOCIAL: A (RE)CONSTRUÇÃO DA IDENTIDADE ENTRE OS ALUNOS DO PROEJA,2014,,Português,Revista FAED - UNEMAT,C ,2178-7476,"['ROBERVAL EMERSON PIZANO', 'Josiane Magalhães']","['1', '2']",['2']
Avaliação da síndrome de burnout em profissionais de saúde.,2012,,Português,Revista Eletrônica Gestão &amp; Saúde,XX,1982-4785,"['ROGERIO FERRARI', 'flavia m frança', 'Josiane Magalhães']","['1', '2', '3']",['3']
RELAÇÃO ENTRE MÉDICOS E ENFERMEIROS DO HOSPITAL REGIONAL DE CÁCERES DR. ANTÔNIO FONTES: A PERSPECTIVA DO ENFERMEIRO,2015,,Português,Revista Ciência e Estudos Acadêmicos de Medicina,XX,2358-3134,"['Paola Souza Santos', 'Andrea Bernardes', 'Josiane Magalhães', 'Rayanne da Silva Santos']","['1', '2', '3', '4']",['3']
ESTRESSE CRÔNICO OCUPACIONAL EM PROFISSIONAIS DA ESTRATÉGIA DE SAÚDE DA FAMÍLIA,2013,,Português,Em Extensão (UFU),XX,1518-6369,"['ROGERIO FERRARI', 'ANDREIA ARAUJO', 'HINGRIDY APARECIDA RODRIGUES', 'flavia m frança', 'Josiane Magalhães']","['1', '2', '3', '4', '5']",['5']
Potencialidades de reinserção social do adolescente infrator através de atividades de esporte e lazer no Centro de Atendimento socioeducativo de Cáceres/MT,2017,,Português,REVISTA COCAR (ONLINE),B4,2237-0315,"['Maria do Horto Salles Tiellet', 'Josiane Magalhães', 'Idelmar da Silva Freitas']","['1', '2', '3']",['2']
PERCEPÇÃO DO CENÁRIO ATUAL DA SAÚDE DO HOMEM: DIFICULDADES ENCONTRADAS POR INDIVÍDUOS MASCULINOS .EM MONITORAMENTO CONTINUO DE PRESSÃO ARTERIAL E DIABETES NA PROCURA POR ASSISTÊNCIA A SAÚDE EM CÁCERES MT,2015,,Português,REVISTA CIÊNCIA E ESTUDOS ACADÊMICOS DE MEDICINA,XX,2358-3134,"['ROMARIO LUIZ DA SILVA', 'Josiane Magalhães']","['1', '2']",['2']
PERCEPÇÃO E CONSTRUÇÃO DE IDENTIDADE ENTRE IDOSOS NO BRASIL,2012,,Português,Revista do IEEE América Latina,XX,0000-0000,"['JULIANO RAMOS DURAN', 'Josiane Magalhães']","['1', '2']",['2']
AVALIAÇÃO DE AQUISIÇÃO DE CONTEÚDO EM EDUCAÇÃO SEXUAL A PARTIR DE OFICINAS DE ARTE.,2016,,Português,Revista do IEEE América Latina,XX,0000-0000,"['talita gomes de oliveira', 'Josiane Magalhães']","['1', '2']",['2']
Exercícios Físicos e seus benefícios à saúde mental: intersecções entre a Educação Física e a Psicologia,2017,,Português,REVISTA FAED - UNEMAT,C ,2178-7476,"['Josiane Magalhães', 'Marcelo Luis Grassi Beck']","['1', '2']",['1']
ARTE EM CENA EXPERIÊNCIA DE PRODUÇÃO DE OFICINAS DE ARTE COMO RECURSO PEDAGÓGICO EM UMA ESCOLA DE ENSINO FUNDAMENTAL 2012-2014,2016,,Português,CULTURA &amp; EXTENSÃO,XX,2448-2420,"['Josiane Magalhães', 'Edneuza Maria Benevides', 'talita gomes de oliveira', 'FLAVIA VILHALVA', 'Marcelo Luis Grassi Beck', 'Reginaldo Pereira de Souza', 'MARIA MADALENA RIBEIRO LUZIANO', 'Renata Lourenço']","['1', '2', '3', '4', '5', '6', '7', '8']",['1']
Arte em cena: produção de peça teatral e oficina de artes,2015,,Português,REALIZAÇÃO - REVISTA ONLINE DE EXTENSÃO DA UFGD,XX,2358-3401,"['Josiane Magalhães', 'Edneuza Maria Benevides', 'talita gomes de oliveira', 'Marcelo Luis Grassi Beck', 'carlos alberto bosque junior']","['1', '2', '3', '4', '5']",['1']
