ID,TITLE,YEAR,DOI,LANG,JOURNAL,ISSN,QUALIS,JCR,AUTHOR,ORDER,ORDER_OK,ID_CNPQ
5859946324646438,"Energy Demand in Agricultural Biomass Production in Parana state, Brazil",2014,,Inglês,E-journal - CIGR,16821130,B2,-99,"['Maria Carolina da Silva Andrea', 'Rafael Cesar Tieppo', 'LEANDRO MARIA GIMENEZ', 'Fabricio Pinheiro Povh', 'Tobias Katsman', 'Thiago Libório Romanelli']","['1', '2', '3', '4', '5', '6']",1,"['5859946324646438', '', '', '', '', '5401789813032087']"
5859946324646438,Energy flows in lowland soybean production system in Brazil,2016,10.1590/0103-8478cr20151298,Inglês,Ciência Rural,16784596,A4,-99,"['Maria Carolina da Silva Andrea', 'ROMANELLI, THIAGO LIBÓRIO', 'MOLIN, JOSÉ PAULO']","['1', '2', '3']",1,"['', '', '']"
5859946324646438,"Variability and limitations of maize production in Brazil: Potential yield, water-limited yield and yield gaps",2018,10.1016/j.agsy.2018.07.004,Inglês,AGRICULTURAL SYSTEMS,0308521X,A1,4.131,"['Maria Carolina da Silva Andrea', 'BOOTE, KENNETH J.', 'SENTELHAS, PAULO C.', 'ROMANELLI, THIAGO L.']","['1', '2', '3', '4']",1,"['', '', '', '']"
5859946324646438,Laboratory temperature-compensating calibration procedure for soil water content determination by reflectometry,2018,10.15361/1984-5529.2018v46n3p221-225,Português,CIENTIFICA: REVISTA DE AGRONOMIA,01000039,B4,-99,"['VASCONCELOS, ANDRÉ TAVARES', 'TIEPPO, RAFAEL CESAR', 'DALLACORT, RIVANILDO', 'SANTI, ADALBERTO', 'Maria Carolina da Silva Andrea']","['1', '2', '3', '4', '5']",5,"['', '', '', '', '']"
5859946324646438,"Adjustment and evaluation of Cropgro-Soybean and Ceres-Maize for different genetic material in a region of Mato Grosso state, Brazil",2019,,Inglês,TROPICAL AND SUBTROPICAL AGROECOSYSTEMS,18700462,B3,-99,"['Maria Carolina da Silva Andrea', 'João Danilo Barbieri', 'Rivanildo Dallacort', 'Rafael Cesar Tieppo', 'Paulo Sérgio Lourenço de Freitas', 'Marco Antonio Camillo de Carvalho']","['1', '2', '3', '4', '5', '6']",1,"['', '', '', '', '', '']"
5859946324646438,"Effect of Soil Coverage on Dual Crop Coefficient of Maize in a Region of Mato Grosso, Brazil",2019,10.5539/jas.v11n13p143,Português,Journal of Agricultural Science,19169752,B3,-99,"['Maria Carolina da Silva Andrea', 'VIEIRA, FRANCIELLE FREITAS', 'DALLACORT, RIVANILDO', 'BARBIERI, JOÃO DANILO', 'FREITAS, PAULO SÉRGIO LOURENÇO DE', 'TIEPPO, RAFAEL CESAR', 'ZOLIN, CORNELIO ALBERTO', 'KRAUSE, WILLIAN', 'DANIEL, DIEGO FERNANDO']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",1,"['', '', '', '', '', '', '', '', '']"
5859946324646438,Assessment of climate change impact on double-cropping systems,2020,10.1007/s42452-020-2325-z,Inglês,SN Applied Sciences,25233963,B4,-99,"['Maria Carolina da Silva Andrea', 'DALLACORT, RIVANILDO', 'TIEPPO, RAFAEL CESAR', 'BARBIERI, JOÃO DANILO']","['1', '2', '3', '4']",1,"['', '', '', '']"
5859946324646438,Simulação da produtividade e de épocas de semeadura para soja e milho em eventos de El niño Oscilação Sul no estado de Mato Grosso,2020,,Português,Acta Iguazu,23164093,B4,-99,"['João Danilo Barbieri', 'Rivanildo Dallacort', 'Paulo Sérgio Lourenço de Freitas', 'Rafael Cesar Tieppo', 'Maria Carolina da Silva Andrea', 'Santino Seabra Júnior']","['1', '2', '3', '4', '5', '6']",5,"['', '', '', '', '', '']"
5859946324646438,Impacts of Future Climate Predictions on Second Season Maize in an Agrosystem on a Biome Transition Region in Mato Grosso State,2019,10.1590/0102-77863340241,Português,REVISTA BRASILEIRA DE METEOROLOGIA,19824351,B1,-99,"['Maria Carolina da Silva Andrea', 'Rivanildo Dallacort', 'BARBIERI, JOÃO DANILO', 'Rafael Cesar Tieppo']","['1', '2', '3', '4']",1,"['5859946324646438', '', '', '']"
5859946324646438,"Suitable weather condition frequency for fungicide soybean application in Tangará da Serra, Mato Grosso, Brazil",2021,10.1590/0034-737x202168040001,Português,REVISTA CERES,0034737X,B1,-99,"['SILVA, GRAZIELLE MARTINEZ DA', 'Rivanildo Dallacort', 'Maria Carolina da Silva Andrea', 'QUEIROZ, TADEU MIRANDA DE']","['1', '2', '3', '4']",3,"['', '', '5859946324646438', '']"
