TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR
"Energy Demand in Agricultural Biomass Production in Parana state, Brazil",2014,,Inglês,E-journal - CIGR,B1,1682-1130,"['Maria Carolina da Silva Andrea', 'Rafael Cesar Tieppo', 'LEANDRO MARIA GIMENEZ', 'Fabricio Pinheiro Povh', 'Tobias Katsman', 'Thiago Libório Romanelli']","['1', '2', '3', '4', '5', '6']",['1'],-99
Energy Demand in Sugarcane Residue Collection and Transportation,2014,,Inglês,E-journal - CIGR,B1,1682-1130,"['Rafael Cesar Tieppo', 'Maria Carolina da Silva Andrea', 'LEANDRO MARIA GIMENEZ', 'Thiago Libório Romanelli']","['1', '2', '3', '4']",['2'],-99
Energy flows in lowland soybean production system in Brazil,2016,10.1590/0103-8478cr20151298,Inglês,Ciência Rural,B1,1678-4596,"['Maria Carolina da Silva Andrea', 'ROMANELLI, THIAGO LIBÓRIO', 'MOLIN, JOSÉ PAULO']","['1', '2', '3']",['1'],-99
"Variability and limitations of maize production in Brazil: Potential yield, water-limited yield and yield gaps",2018,10.1016/j.agsy.2018.07.004,Inglês,AGRICULTURAL SYSTEMS,A1,0308-521X,"['Maria Carolina da Silva Andrea', 'BOOTE, KENNETH J.', 'SENTELHAS, PAULO C.', 'ROMANELLI, THIAGO L.']","['1', '2', '3', '4']",['1'],4.131
Laboratory temperature-compensating calibration procedure for soil water content determination by reflectometry,2018,10.15361/1984-5529.2018v46n3p221-225,Português,CIENTIFICA: REVISTA DE AGRONOMIA,B3,0100-0039,"['VASCONCELOS, ANDRÉ TAVARES', 'TIEPPO, RAFAEL CESAR', 'DALLACORT, RIVANILDO', 'SANTI, ADALBERTO', 'Maria Carolina da Silva Andrea']","['1', '2', '3', '4', '5']",['5'],-99
"Effect of Soil Coverage on Dual Crop Coefficient of Maize in a Region of Mato Grosso, Brazil",2019,10.5539/jas.v11n13p143,Português,Journal of Agricultural Science,B1,1916-9752,"['Maria Carolina da Silva Andrea', 'VIEIRA, FRANCIELLE FREITAS', 'DALLACORT, RIVANILDO', 'BARBIERI, JOÃO DANILO', 'FREITAS, PAULO SÉRGIO LOURENÇO DE', 'TIEPPO, RAFAEL CESAR', 'ZOLIN, CORNELIO ALBERTO', 'KRAUSE, WILLIAN', 'DANIEL, DIEGO FERNANDO']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",['1'],-99
Impacts of Future Climate Predictions on Second Season Maize in an Agrosystem on a Biome Transition Region in Mato Grosso State,2019,10.1590/0102-77863340241,Português,REVISTA BRASILEIRA DE METEOROLOGIA,B1,1982-4351,"['Maria Carolina da Silva Andrea', 'DALLACORT, RIVANILDO', 'BARBIERI, JOÃO DANILO', 'TIEPPO, RAFAEL CESAR']","['1', '2', '3', '4']",['1'],-99
Assessment of climate change impact on double-cropping systems,2020,10.1007/s42452-020-2325-z,Inglês,SN Applied Sciences,XX,2523-3963,"['Maria Carolina da Silva Andrea', 'DALLACORT, RIVANILDO', 'TIEPPO, RAFAEL CESAR', 'BARBIERI, JOÃO DANILO']","['1', '2', '3', '4']",['1'],-99
Simulação da produtividade e de épocas de semeadura para soja e milho em eventos de El niño Oscilação Sul no estado de Mato Grosso,2020,,Português,Acta Iguazu,B3,2316-4093,"['João Danilo Barbieri', 'Rivanildo Dallacort', 'Paulo Sérgio Lourenço de Freitas', 'Rafael Cesar Tieppo', 'Maria Carolina da Silva Andrea', 'Santino Seabra Júnior']","['1', '2', '3', '4', '5', '6']",['5'],-99
"Adjustment and evaluation of Cropgro-Soybean and Ceres-Maize for different genetic material in a region of Mato Grosso state, Brazil",2019,,Inglês,TROPICAL AND SUBTROPICAL AGROECOSYSTEMS,B2,1870-0462,"['Maria Carolina da Silva Andrea', 'João Danilo Barbieri', 'Rivanildo Dallacort', 'Rafael Cesar Tieppo', 'Paulo Sérgio Lourenço de Freitas', 'Marco Antonio Camillo de Carvalho']","['1', '2', '3', '4', '5', '6']",['1'],-99
