TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER
Comportamiento de cortejo y cópula de la broca de semilla de guanábana Bephratelloides pomorum (Fab.) (Hymenoptera: Eurytomidae),1998,,Português,Revista de Biología Tropical,B1,0034-7744,"['Mônica Josene Barbosa Pereira', 'Alvaro Eduardo Eiras', 'Norivaldo dos Anjos']","['1', '2', '3']"
"Biology of Bephratelloides pomorum (Fab.) (Hymenoptera: Eurytomidae), soursop seed borer",1997,,Português,Revista Brasileira de Genética,A1,0100-8455,['Mônica Josene Barbosa Pereira'],['1']
Determinação do número de ínstares larvais da broca da semente de graviola Bephratelloides pomorum (Fab.) (Hymenoptera: Eurytomidae).,1998,,Português,Naturalia (São José do Rio Preto),XX,0101-1944,"['Mônica Josene Barbosa Pereira', 'Norivaldo dos Anjos', 'José Lino Neto']","['1', '2', '3']"
"Artificial Diet for Rearing the Annona Fruit Borer Cerconota anonella Sepp, 1830 (Lepidoptera: Oecophoridae)",2003,10.1017/S174275840002035X,Inglês,International Journal of Tropical Insect Science (Print),XX,1742-7584,"['Mônica Josene Barbosa Pereira', 'Evoneo BertiFilho', 'José Roberto Postali Parra']","['1', '2', '3']"
"Oviposição da broca-da-semente de graviola Bephratelloides pomorum (Fabricius, 1908) (Hymenoptera: Eurytomidae)",2003,,Português,Arquivos do Instituto Biológico,B1,0020-3653,"['Mônica Josene Barbosa Pereira', 'Norivaldo dos Anjos', 'Álvaro Eduardo Eiras']","['1', '2', '3']"
"Pragas do algodoeiro: identificação, biologia e sintomas de ataque",2006,,Português,Revista Brasileira de Oleaginosas e Fibrosas (Online),XX,1980-4830,"['Mônica Josene Barbosa Pereira', 'Fábio Aquino de Albuquerque', 'Cristina Bastos Schetino']","['1', '2', '3']"
Avaliação de Mutualismo entre Acacia mangium Willd (Mimosaceae) e Formigas,2008,,Português,Revista Brasileira de Agroecologia,B5,1980-9735,"['Tiago José Bertuol', 'Carla Galbiati', 'Mônica Josene Barbosa Pereira', 'Anderson Marques do Amaral']","['1', '2', '3', '4']"
"Biologia, danos e táticas de controle da broca-da-polpa das anonáceas",2007,,Português,Bahia Agrícola,C ,1414-2368,"['Maria Aparecida Leao Bittencourt', 'Catarina C. de Mattos Sobrinho', 'Mônica Josene Barbosa Pereira']","['1', '2', '3']"
Exigências térmicas e estimativa do número de gerações da broca-do-fruto Annona (Cerconota anonella),2009,10.1590/s0103-84782009005000177,Inglês,Ciência Rural (UFSM. Impresso),B1,0103-8478,"['Mônica Josene Barbosa Pereira', 'Evoneo Berti-Filho']","['1', '2']"
Potencial alopático de extratos aquosos de Xylopia aromatica e Annona crassiflora sobre capim-marandu e soja,2009,,Português,Scientia Agraria (UFPR),B2,1519-1125,"['Miriam Hiroko Inoue', 'Diogo Carneiro de Santana', 'Mônica Josene Barbosa Pereira', 'Ana Cássia Silva Possamai', 'Virgínia Helena de Azevedo']","['1', '2', '3', '4', '5']"
Potencial alelopático de Annona crassiflora: efeitos sobre plantas daninhas,2010,10.1590/s0100-83582010000300005,Inglês,Planta Daninha (Impresso),B1,0100-8358,"['Miriam Hiroko Inoue', 'Mônica Josene Barbosa Pereira', 'Diogo Carneiro de Santana', 'Souza Filho, A.P.S.', 'Ana Cássia Silva Possamai', 'Kellyr Medeiros']","['1', '1', '2', '3', '4', '6']"
"Dispersão e predação de sementes de araticum no Cerrado de Mato Grosso, Brasil",2011,,Português,Ciência Rural (UFSM. Impresso),B1,0103-8478,"['Vanessa Golin', 'Manoel dos Santos Filho', 'Mônica Josene Barbosa Pereira']","['1', '2', '3']"
Biocidal effect of the Annona coriacea Mart 1841 on eggs and nymphs of the vector Rhodnius neglectus Lent 1954,2011,10.4013/nbc.2011.62.08,Português,Neotropical Biology and Conservation,B5,2236-3777,"['Ângela Pinheiro Carneiro', 'Mônica Josene Barbosa Pereira', 'Carla Galbiati']","['1', '1', '3']"
AVALIAÇÃO DA ATIVIDADE DE Annona coriacea (ANNONACEAE) SOBRE PUPAS E ADULTOS DE Aedes aegypti (DIPTERA:CULICIDAE) EM LABORATÓRIO,2011,,Português,Revista de Agricultura (Piracicaba),B4,0034-7655,"['Josdemar Muniz de Moraes', 'Mônica Josene Barbosa Pereira', 'Marilza da Silva Costa', 'Carla Galbiati', 'Elaine Peres da Silva']","['1', '2', '3', '4', '5']"
