PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA
FEROMÔNIO SEXUAL DA BROCA-DO-FRUTO DAS ANONÁCEAS Cerconota anonella (LEPIDOPTERA: OECOPHORIDAE),2001,2002,PESQUISA,"['Mônica Josene Barbosa Pereira', 'Rodolfo Molinário', 'Eraldo Rodrigues de Lima', 'Evaldo Ferreira Vilela', 'Fernando Cunha França', 'Paulo Zarbin', 'José Inácio Lacerda Moura', 'Antonio do Nascimento']","['NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Rede de Biotecnologia Aplicada aos Serviços e Desserviços da Biodiversidade à Agricultura no Cerrado e na Amazônia,2016,ATUAL,PESQUISA,"['Mônica Josene Barbosa Pereira', 'Ricardo José da Silva', 'Marilza da Silva Costa', 'Sandra Mara Alves da Silva Neves', 'Carla Galbiati', 'Alessandra Regina Butnariu', 'Dionei José da Silva', 'Rafael Major Pitta', 'Danielle Storck Tonon', 'Thiago Junqueira Izzo', 'Edineia Aparecida dos Santos Galvanin', 'Angélica Massarolli', 'Marcio Luiz de Oliveira', 'Debora Pires Paula', 'Gustavo Júnior de Araújo', 'Cleci Grzebieluckas', 'Gabriel dos Santos Carvalho', 'Camila Luciana Gramkow', 'Carlos Augusto da Silva Peres', 'David A Andow']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Controle biológico de pragas em hortaliças: uma estratégia sustentável para pequenos produtores no município de Tangará da Serra-MT.,2017,ATUAL,EXTENSAO,"['Mônica Josene Barbosa Pereira', 'Alessandra Regina Butnariu', 'Santino Seabra Junior', 'Bruna Camila Gualda Bersani', 'Angélica Massarolli', 'Ílio Fealho de Carvalho', 'Maurecilne Lemes da Silva Carvalho', 'João Pedro Santos Souza']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
O uso do controle biológico no combate de fitopatógenos e pragas em plantações de hortifruti produzidos na agricultura familiar.,2017,ATUAL,EXTENSAO,"['Mônica Josene Barbosa Pereira', 'DEJÂNIA VIEIRA DE ARAÚJO', 'Ílio Fealho de Carvalho', 'Maurecilne Lemes da Silva Carvalho']","['NAO', 'NAO', 'SIM', 'NAO']"
Atividade inseticida de extratos de Annonaceae no controle de Tuta absoluta e Bemisia tabaci na cultura do tomate,2005,2007,PESQUISA,"['Mônica Josene Barbosa Pereira', 'Carla Galbiati']","['SIM', 'NAO']"
POLINIZADORES DE ARATICUM (ANNONACEAE) NO CERRADO MATO-GROSSENSE,2004,2006,PESQUISA,"['Mônica Josene Barbosa Pereira', 'Rosângela Ferreira Aguiar', 'Francisco de Assis Rabelo Júnior', 'Milene Faria Vieira', 'Tadeu Robson Cavalcante']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']"
Caracterizacao das abelhas sociais e solitarias do sudoeste matogrossense,2004,2006,PESQUISA,"['Mônica Josene Barbosa Pereira', 'Anderson Fernandes de Miranda', 'Rosangela Maria Ferreira Aguiar']","['SIM', 'NAO', 'NAO']"
"Seleção de espécies de anonáceas com potencial inseticida, fungicida e herbicida no cerrado Matogrossense",2005,2011,PESQUISA,"['Mônica Josene Barbosa Pereira', 'Elisandra Batista Zambenedetti', 'PATRICIA HELENA DE AZEVEDO', 'VIRGINIA HELENA DE AZEVEDO', 'EVANDRO LUIS DALL´OGLIO', 'TEIXEIRA DE SOUSA JUNIOR']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Atividade biocida das anonáceas do cerrado no controle do barbeiro T. sordida (Heteroptera: Reduviidae) na região sudoeste do Mato Grosso,2009,2012,PESQUISA,"['Mônica Josene Barbosa Pereira', 'Josdemar Muniz de Moraes', 'Jamile Fernanda Silva Consolin', 'Rafael Walter', 'Carla Galbiati', 'angela P. Carneiro']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
Bioatividade de Annona coriaceae no controle do vetor da dengue Aedes aegypti (Diptera: Culicidae),2010,2013,PESQUISA,"['Mônica Josene Barbosa Pereira', 'Josdemar Muniz de Moraes', 'Jamile Fernanda Silva Consolin', 'Alessandra Regina Butnariu', 'Thayana Alves', 'Rosilainy Surubi Fernandes', 'Marilza da Silva Costa', 'Edilse Maria Dill', 'Sandra Mara Alves da Silva Neves', 'Carla Galbiati']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Modos de fazer ciência: Historia, redação e metodologias de pesquisa e análise",2011,2015,EXTENSAO,"['Mônica Josene Barbosa Pereira', 'Alessandra Regina Butnariu', 'Divina Sueide de Godoi', 'Ana de Medeiros Arnt', 'Augusta Karkow Doetzer', 'Luiz Antonio Jacvntho', 'Eduardo Bessa Pereira da Silva', 'Diogo Almeida Costa']","['NAO', 'SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
"Levantamento de substâncias químicas liberadas por insetos pragas, bovinos e plantas, isolamento, preparo de extratos e isolamento estrutural",2011,2014,PESQUISA,"['Mônica Josene Barbosa Pereira', 'Jamile Fernanda Silva Consolin', 'Miguel Borges', 'Raul Laumann', 'Alessandra Regina Butnariu', 'Maria Carolina Blassioli Moraes', 'Leonardo Morais', 'LUDMILA PITON', 'VALDILENE CHAGAS BARBOSA DA CRUZ', 'Weslany T. Bandeira', 'Weverson de Jesus Lima', 'Bárbara Weschenfelder', 'João Paulo Feitosa Delmondes', 'Rafael Edwviges', 'Edson dos Reis Duarte', 'Pedro Paulo Fernandes El Hage', 'Edilaine de Souza Viana', 'Ana regina Lucena', 'Valvenarg Pereira da Silva']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']"
