PROJ,YEAR_INI,YEAR_FIN,NATUREZA,INTEGRANTES,COORDENA,ID,FULL_NAME,LAST_NAME,CITADO,CITY,STATE,RESUME,UPDATE,OR
Temperatura no perfil do solo utilizando duas densidades de cobertura e solo nu,2000,2005,PESQUISA,"['Rivanildo Dallacort', 'Reinaldo Prandini Ricieri', 'Suedêmio de Lima Silva', 'Estor Gnoatto', 'Eloi Gasparim']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM']",1292986021348016,Rivanildo Dallacort,Dallacort,"DALLACORT, R;DALLACORT, Rivanildo;Dallacort, R.;DALLACORT, R.;DALLACORT;Dallacort;RIVANILDO, DALLACORT",São João,PR,Nao foi possivel extrair o resumo,24-01-2019,1
"Caracterização agroclimática da região de Cascavel - Paraná, aplicada ao cultivo de culturas agrícolas",2000,2002,PESQUISA,"['Rivanildo Dallacort', 'Reinaldo Prandini Ricieri', 'Suedêmio de Lima Silva', 'Wellian Chaves Monteiro Silva']","['NAO', 'NAO', 'NAO', 'SIM']",1292986021348016,Rivanildo Dallacort,Dallacort,"DALLACORT, R;DALLACORT, Rivanildo;Dallacort, R.;DALLACORT, R.;DALLACORT;Dallacort;RIVANILDO, DALLACORT",São João,PR,Nao foi possivel extrair o resumo,24-01-2019,1
Avaliação do desempenho de painéis fotovoltaicos para geração de energia elétrica e bombeamento de água,1999,2004,PESQUISA,"['Rivanildo Dallacort', 'Reinaldo Prandini Ricieri', 'Suedêmio de Lima Silva', 'Estor Gnoatto', 'Evandro Marcos Kolling', 'Samoel Nelson Melegari Souza', 'Yuri Ferruzzi']","['NAO', 'NAO', 'NAO', 'NAO', 'SIM', 'NAO', 'NAO']",1292986021348016,Rivanildo Dallacort,Dallacort,"DALLACORT, R;DALLACORT, Rivanildo;Dallacort, R.;DALLACORT, R.;DALLACORT;Dallacort;RIVANILDO, DALLACORT",São João,PR,Nao foi possivel extrair o resumo,24-01-2019,1
"Modelos numéricos de estimativa da irradiação solar (global, difusa e direta) e comparação da medida monitorada por diferentes instrumentos",2001,2004,PESQUISA,"['Rivanildo Dallacort', 'Reinaldo Prandini Ricieri', 'Suedêmio de Lima Silva', 'Wellian Chaves Monteiro Silva', 'Estor Gnoatto']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']",1292986021348016,Rivanildo Dallacort,Dallacort,"DALLACORT, R;DALLACORT, Rivanildo;Dallacort, R.;DALLACORT, R.;DALLACORT;Dallacort;RIVANILDO, DALLACORT",São João,PR,Nao foi possivel extrair o resumo,24-01-2019,1
Resistência a compressão do solo-cimento com substituição parcial do cimento Portland por resíduo cerâmico moído,2001,2002,PESQUISA,"['Rivanildo Dallacort', 'Fabio Luiz Willrich', 'Humberto Correa Lima Junior']","['SIM', 'NAO', 'NAO']",1292986021348016,Rivanildo Dallacort,Dallacort,"DALLACORT, R;DALLACORT, Rivanildo;Dallacort, R.;DALLACORT, R.;DALLACORT;Dallacort;RIVANILDO, DALLACORT",São João,PR,Nao foi possivel extrair o resumo,24-01-2019,1
Utilização de águas residuárias na agricultura,2003,2004,PESQUISA,"['Rivanildo Dallacort', 'Frederico Fonseca da Silva', 'Altair Bertonha', 'Paulo Sérgio Lourenço de Freitas']","['NAO', 'SIM', 'NAO', 'NAO']",1292986021348016,Rivanildo Dallacort,Dallacort,"DALLACORT, R;DALLACORT, Rivanildo;Dallacort, R.;DALLACORT, R.;DALLACORT;Dallacort;RIVANILDO, DALLACORT",São João,PR,Nao foi possivel extrair o resumo,24-01-2019,1
Modelo de simulação da produtividade da cultura do feijão para a região de Maringá - PR,2003,2008,PESQUISA,"['Rivanildo Dallacort', 'João Batista Tolentino Junior', 'Rogério Teixeira de Faria', 'Antonio Carlos Andrade Gonçalves', 'Paulo Sérgio Lourenço de Freitas']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO']",1292986021348016,Rivanildo Dallacort,Dallacort,"DALLACORT, R;DALLACORT, Rivanildo;Dallacort, R.;DALLACORT, R.;DALLACORT;Dallacort;RIVANILDO, DALLACORT",São João,PR,Nao foi possivel extrair o resumo,24-01-2019,1
"Determinação das melhores épocas de semeadura antecipada da soja, visando o plantio do milho safrinha, para as regiões de Palotina, Cascavel e Maringá, Estado do Paraná",2004,2008,PESQUISA,"['Rivanildo Dallacort', 'Altair Bertonha', 'Roberto Rezende', 'Rogério Teixeira de Faria', 'Rosilaine Araldi', 'Antonio Carlos Andrade Gonçalves', 'Paulo Sérgio Lourenço de Freitas']","['NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'SIM']",1292986021348016,Rivanildo Dallacort,Dallacort,"DALLACORT, R;DALLACORT, Rivanildo;Dallacort, R.;DALLACORT, R.;DALLACORT;Dallacort;RIVANILDO, DALLACORT",São João,PR,Nao foi possivel extrair o resumo,24-01-2019,1
"Diversificação e ampliação da base produtiva do Estado de Grosso, a partir do zoneamento agrícola da soja, feijão, cana-de-açúcar, girassol, crambe e pinhão-manso",2012,2015,PESQUISA,"['Rivanildo Dallacort', 'Cornélio Alberto Zolin', 'Rafael Cesar Tieppo', 'Miriam Hiroko Inoue', 'Paulo Sérgio Lourenço de Freitas', 'Karolina Ascari de Souza', 'Adalberto Santi']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']",1292986021348016,Rivanildo Dallacort,Dallacort,"DALLACORT, R;DALLACORT, Rivanildo;Dallacort, R.;DALLACORT, R.;DALLACORT;Dallacort;RIVANILDO, DALLACORT",São João,PR,Nao foi possivel extrair o resumo,24-01-2019,1
Centro Integrado Cerrado de Pesquisa nos Campi de Nova Xavantina e Tangará da Serra,2012,ATUAL,DESENVOLVIMENTO,"['Rivanildo Dallacort', 'Monica Josene Barbosa Pereira', 'Edinéia Aparecida dos Santos Galvanin', 'Agnaldo Rodrigues da Silva', 'Vera Lucia da Rocha Maquea', 'Walnice Aparecida Matos Vilalva', 'Helena Soares Ramos Cabette', 'Eddie Lenza de Oliveira', 'Beatriz Schwantes Marimon', 'Marco Antonio Camillo de Carvalho']","['SIM', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO', 'NAO']",1292986021348016,Rivanildo Dallacort,Dallacort,"DALLACORT, R;DALLACORT, Rivanildo;Dallacort, R.;DALLACORT, R.;DALLACORT;Dallacort;RIVANILDO, DALLACORT",São João,PR,Nao foi possivel extrair o resumo,24-01-2019,1
