"Dallacort, Rivanildo (Author)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timespan:1900-2022. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results found,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of the Times Cited,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Citations per Item,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h-index,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Genotoxicity and composition of particulate matter from biomass burning in the eastern Brazilian Amazon region,"Alves, Nilmara de Oliveira; Matos Loureiro, Ana Lucia; dos Santos, Fernando Cavalcante; Nascimento, Katia Halter; Dallacort, Rivanildo; Vasconcellos, Perola de Castro; Hacon, Sandra de Souza; Artaxo, Paulo; Batistuzzo de Medeiros, Silvia Regina",,,,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,JUL 2011,2011,74,5,,,,1427,1433,,10.1016/j.ecoenv.2011.04.007,,,29,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,3,5,3,3,3,4,1,1,1
"Rain distribution in Tangara da Serra, mid-northern Mato Grosso State, Brazil","Dallacort, Rivanildo; Martins, Juliano Araujo; Inoue, Miriam Hiroko; Lourenco de Freitas, Paulo Sergio; Coletti, Ademar Junior",,,,ACTA SCIENTIARUM-AGRONOMY,APR-JUN 2011,2011,33,2,,,,193,200,,10.4025/actasciagron.v33i2.5838,,,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,5,2,4,3,0
Production and resistance to bolting of loose-leaf lettuce grown in different environments,"Diamante, Marla Silvia; Seabra Junior, Santino; Inagaki, Adriano Mitio; da Silva, Monica Bartira; Dallacort, Rivanildo",,,,REVISTA CIENCIA AGRONOMICA,JAN-MAR 2013,2013,44,1,,,,133,140,,10.1590/S1806-66902013000100017,,,16,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,1,3,4,0
"Agroclimatic aptitude of oil seed plant in the region of Tangara da Serra, Mato Grosso state, Brazil","Dallacort, Rivanildo; Martins, Juliano Araujo; Inoue, Miriam Hiroko; Lourenco de Freitas, Paulo Sergio; Krause, Willian",,,,REVISTA CIENCIA AGRONOMICA,JUL-SEP 2010,2010,41,3,,,,373,379,,10.1590/S1806-66902010000300008,,,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,1,0,3,0,0,0,0
Leaching Potential of Herbicides Used in Cotton Crop under Soil Column Conditions,"Inoue, M. H.; Santana, D. C.; Oliveira Jr, R. S.; Clemente, R. A.; Dallacort, R.; Possamai, A. C. S.; Santana, C. T. C.; Pereira, K. M.",,,,PLANTA DANINHA,OCT-DEC 2010,2010,28,4,,,,825,833,,10.1590/S0100-83582010000400016,,,12,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,1,1,0
Agronomic performance of crisphead lettuce fertilized with filter cake in protected environment,"Santi, Adalberto; Scaramuzza, Walcylene L. M. P.; Neuhaus, Alexandro; Dallacort, Rivanildo; Krause, Willian; Tieppo, Rafael Cesar",,,,HORTICULTURA BRASILEIRA,APR-JUN 2013,2013,31,2,,,,338,343,,10.1590/S0102-05362013000200027,,,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,3,1,0
Multivariate approach of soil attributes on the characterization of land use in the southern Brazilian Amazon,"Camillo de Carvalho, Marco Antonio; Panosso, Alan Rodrigo; Ribeiro Teixeira, Elisabethe Emilia; Araujo, Elton Gean; Brancaglioni, Vivian Aparecida; Dallacort, Rivanildo",,,,SOIL & TILLAGE RESEARCH,DEC 2018,2018,184,,,,,207,215,,10.1016/j.still.2018.08.004,,,9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0
INDIVIDUAL SELECTION OF PLANTS AS YELLOW PASSION FRUIT QUALITY THROUGH REML/BLUP,"Assuncao, Marcelo Pereira; Krause, Willian; Dallacort, Rivanildo; Ricardo, Paulo; Dos Santos, Junges; Neves, Leonarda Grillo",,,,REVISTA CAATINGA,2015,2015,28,2,,,,57,63,,,,,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0
Residual Effect of Herbicides Applied in Pre-Emergence in Different Soils,"Inoue, M. H.; Santana, C. T. C.; Oliveira Jr, R. S.; Possamai, A. C. S.; Santana, D. C.; Arruda, R. A. D.; Dallacort, R.; Sztoltz, C. L.",,,,PLANTA DANINHA,APR-JUN 2011,2011,29,2,,,,429,435,,10.1590/S0100-83582011000200021,,,8,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,3,0,0,1,0
Allelophatic Potential of Substances Isolated from Annona crassiflora Seeds,"Inoue, M. H.; Santana, D. C.; Vilhena, K. S. S.; Souza Filho, A. P. S.; Guilhon, G. M. S. P.; Possamai, A. C. S.; Silva, L. E.; Dallacort, R.",,,,PLANTA DANINHA,OCT-DEC 2010,2010,28,4,,,,735,741,,10.1590/S0100-83582010000400005,,,8,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,0,0
