Title,Type,ISSN,ISSN_A,ISSN_B,SJR,HINDEX,JCR
Ca-A Cancer Journal for Clinicians,journal,"15424863, 00079235",15424863, 00079235,145.004,223,145.004
MMWR Recommendations and Reports,journal,"10575987, 15458601",10575987, 15458601,41.754,155,41.754
Nature Reviews Molecular Cell Biology,journal,"14710072, 14710080",14710072, 14710080,37.353,531,37.353
Quarterly Journal of Economics,journal,"00335533, 15314650",00335533, 15314650,35.995,322,35.995
Nature Reviews Drug Discovery,journal,"14741784, 14741776",14741784, 14741776,30.506,412,30.506
Nature Reviews Clinical Oncology,journal,"17594782, 17594774",17594782, 17594774,28.675,238,28.675
American Economic Review,journal,"19447981, 00028282",19447981, 00028282,25.102,380,25.102
Nature Reviews Cancer,journal,"1474175X, 14741768",1474175X, 14741768,24.378,527,24.378
Journal of Finance,journal,"00221082, 15406261",00221082, 15406261,22.836,370,22.836
Foundations and Trends in Machine Learning,journal,"19358245, 19358237",19358245, 19358237,22.797,42,22.797
Cell,journal,"00928674, 10974172",00928674, 10974172,22.612,925,22.612
Econometrica,journal,"00129682, 14680262",00129682, 14680262,21.091,231,21.091
Nature Reviews Materials,journal,20588437,20588437,,19.43,215,19.43
Review of Economic Studies,journal,"00346527, 1467937X",00346527, 1467937X,19.166,177,19.166
New England Journal of Medicine,journal,"00284793, 15334406",00284793, 15334406,19.076,1231,19.076
Annals of Oncology,journal,"15698041, 09237534",15698041, 09237534,19.072,311,19.072
Cancer Cell,journal,"15356108, 18783686",15356108, 18783686,19.027,416,19.027
Nature Biotechnology,journal,"15461696, 10870156",15461696, 10870156,19.006,531,19.006
World Psychiatry,journal,17238617,17238617,,18.419,153,18.419
Nature Medicine,journal,"1546170X, 10788956",1546170X, 10788956,18.333,653,18.333
Nature,journal,"14764687, 00280836",14764687, 00280836,18.288,1442,18.288
Reviews of Modern Physics,journal,"00346861, 15390756",00346861, 15390756,18.08,399,18.08
Nature Reviews Disease Primers,journal,2056676X,2056676X,,17.995,210,17.995
Journal of Financial Economics,journal,0304405X,0304405X,,17.669,331,17.669
Nature Energy,journal,20587546,20587546,,17.599,259,17.599
Nature Reviews Immunology,journal,"14741741, 14741733",14741741, 14741733,17.458,486,17.458
Nature Methods,journal,"15487091, 15487105",15487091, 15487105,17.251,408,17.251
Journal of Political Economy,journal,"00223808, 1537534X",00223808, 1537534X,17.087,225,17.087
Nature Genetics,journal,"10614036, 15461718",10614036, 15461718,16.586,660,16.586
Review of Financial Studies,journal,"14657368, 08939454",14657368, 08939454,16.546,250,16.546
Chemical Reviews,journal,"15206890, 00092665",15206890, 00092665,16.455,873,16.455
Annual Review of Immunology,book series,"15453278, 07320582",15453278, 07320582,16.428,337,16.428
Nature Reviews Genetics,journal,"14710056, 14710064",14710056, 14710064,16.364,439,16.364
National Vital Statistics Reports,journal,"15518922, 15518930",15518922, 15518930,15.519,120,15.519
MMWR Surveillance Summaries,journal,"15458636, 15460738",15458636, 15460738,15.326,119,15.326
Nature Reviews Methods Primers,journal,26628449,26628449,,15.026,67,15.026
Nature Nanotechnology,journal,"17483387, 17483395",17483387, 17483395,14.612,444,14.612
Living Reviews in Relativity,journal,"14338351, 23673613",14338351, 23673613,14.562,101,14.562
Academy of Management Review,journal,03637425,03637425,,14.402,320,14.402
Nature Materials,journal,"14764660, 14761122",14764660, 14761122,14.204,583,14.204
IEEE Communications Surveys and Tutorials,journal,1553877X,1553877X,,14.184,287,14.184
Nature Catalysis,journal,25201158,25201158,,14.132,162,14.132
Academy of Management Annals,journal,"19416520, 19416067",19416520, 19416067,13.877,119,13.877
Nature Reviews Microbiology,journal,"17401534, 17401526",17401534, 17401526,13.861,393,13.861
Annual Review of Psychology,journal,"00664308, 15452085",00664308, 15452085,13.786,298,13.786
American Economic Journal: Macroeconomics,journal,"19457707, 19457715",19457707, 19457715,13.528,88,13.528
Nature Reviews Earth and Environment,journal,2662138X,2662138X,,13.465,91,13.465
Nature Reviews Chemistry,journal,23973358,23973358,,13.441,131,13.441
Journal of Marketing,journal,"15477185, 00222429",15477185, 00222429,13.394,296,13.394
Journal of Economic Literature,journal,00220515,00220515,,12.749,189,12.749
Annual Review of Astronomy and Astrophysics,book series,"15454282, 00664146",15454282, 00664146,12.736,220,12.736
Annual Review of Organizational Psychology and Organizational Behavior,journal,23270608,23270608,,12.191,86,12.191
The Lancet Diabetes and Endocrinology,journal,"22138595, 22138587",22138595, 22138587,12.19,189,12.19
