ISSN	Titulo	Estrato	Classificação
2541-965X	РУССКАЯ ПОЛИТОЛОГИЯ (RUSSIAN POLITICAL SCIENCE)	B2	
2236-6695	A BARRIGUDA: REVISTA CIENTÍFICA	B2	
1413-6090	A ECONOMIA EM REVISTA	B3	
2236-2029	A ECONOMIA EM REVISTA - AERE	B3	
1528-7106	AACE INTERNATIONAL TRANSACTIONS	C	
0094-6354	A.A.N.A. JOURNAL	A3	
0149-1423	AAPG BULLETIN (PRINT)	A1	
2381-1285	AASCIT JOURNAL OF HEALTH (ONLINE)	C	
2316-9451	ABAKÓS	A4	
1980-4814	ABCUSTOS (SÃO LEOPOLDO, RS)	B2	
1516-3210	A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL (IMPRESSO)	A3	
2315-7712	ACADEMIA JOURNAL OF SCIENTIFIC RESEARCH	B3	
1012-8255	ACADEMIA REVISTA LATINOAMERICANA DE ADMINISTRACIÓN	A3	
2318-1494	ACADÊMICO MUNDO	B4	
1806-9495	ACADEMUS: REVISTA CIENTÍFICA DA SAÚDE	C	
1096-3685	ACADEMY OF ACCOUNTING AND FINANCIAL STUDIES JOURNAL	A2	
1528-2686	ACADEMY OF ENTREPRENEURSHIP JOURNAL	A3	
0001-4273	ACADEMY OF MANAGEMENT JOURNAL	A1	
1526-1794	ACADEMY OF MARKETING SCIENCE REVIEW	A3	
1095-6298	ACADEMY OF MARKETING STUDIES JOURNAL	A3	
1939-6104	ACADEMY OF STRATEGIC MANAGEMENT JOURNAL	A2	
2358-6559	ACANTO EM REVISTA	B4	
2238-0701	AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA	B2	
0773-7637	ACCOUNTANCY & BEDRIJFSKUNDE MONOGRAFIEËN	B4	
2559-6004	ACCOUNTING & MANAGEMENT INFORMATION SYSTEMS	A3	
1583-4387	ACCOUNTING & MANAGEMENT INFORMATION SYSTEMS/CONTABILITATE SI INFORMATICA DE GESTIUNE	A3	
0810-5391	ACCOUNTING AND FINANCE (PARKVILLE)	A2	
0951-3574	ACCOUNTING, AUDITING & ACCOUNTABILITY JOURNAL	A1	
1468-4489	ACCOUNTING EDUCATION	A2	
0963-9284	ACCOUNTING EDUCATION	A2	
1467-6303	ACCOUNTING FORUM	A1	
0155-9982	ACCOUNTING FORUM (ADELAIDE)	A1	
1744-9499	ACCOUNTING IN EUROPE (ONLINE)	A2	
1030-9616	ACCOUNTING RESEARCH JOURNAL	A3	
2637-6105	ACS APPLIED POLYMER MATERIALS	B2	
1948-5875	ACS MED CHEM LETT	A2	
2168-0485	ACS SUSTAINABLE CHEMISTRY & ENGINEERING	A1	
0906-4702	ACTA AGRICULTURAE SCANDINAVICA. SECTION A, ANIMAL SCIENCE	B2	
