ISSN	Titulo	Estrato	Classificação
1557-8100	A JOURNAL OF INTEGRATIVE BIOLOGY	A3	
1530-9932	AAPS PHARMSCITECH	A3	
0102-6720	ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA	A4	
2318-4965	ABCS HEALTH SCIENCES	B1	
2357-8114	ABCS HEALTH SCIENCES	B1	
1060-2011	ABSTRACTS OF THE GENERAL MEETING OF THE AMERICAN SOCIETY FOR MICROBIOLOGY	C	
1516-3210	A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL (IMPRESSO)	A3	
2315-7720	ACADEMIA JOURNAL OF MEDICINAL PLANTS	C	
1012-8255	ACADEMIA REVISTA LATINOAMERICANA DE ADMINISTRACIÓN	A3	
1076-6332	ACADEMIC RADIOLOGY	A3	
1631-0691	ACADEMIE DES SCIENCES. COMPTES RENDUS. BIOLOGIES	A2	
1068-6452	ACCOUNTING TECHNOLOGY	C	
0001-4842	ACCOUNTS OF CHEMICAL RESEARCH	A1	
2374-0353	ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS	A1	
2574-0970	ACS  APPLIED NANO MATERIALS	A4	
2576-6422	ACS APPLIED BIO MATERIALS	B2	
1944-8244	ACS APPLIED MATERIALS & INTERFACES (PRINT)	A1	
2373-9878	ACS BIOMATERIALS SCIENCE & ENGINNERING	A2	
2155-5435	ACS CATALYSIS	A1	
2374-7951	ACS CENTRAL SCIENCE (ONLINE)	A1	
1554-8929	ACS CHEMICAL BIOLOGY	A1	
1948-7193	ACS CHEMICAL NEUROSCIENCE	A2	
2156-8952	ACS COMBINATORIAL SCIENCE	A2	
2373-8227	ACS INFECTIOUS DISEASES	A1	
1948-5875	ACS MED CHEM LETT	A2	
1936-0851	ACS NANO	A1	
2470-1343	ACS OMEGA	A4	
2379-3694	ACS SENSORS	A1	
2168-0485	ACS SUSTAINABLE CHEMISTRY & ENGINEERING	A1	
2161-5063	ACS SYNTHETIC BIOLOGY	A1	
1091-5397	ACSM'S HEALTH & FITNESS JOURNAL (PRINT)	B1	
0120-2812	ACTA AGRONOMICA	B3	
0139-3006	ACTA ALIMENTARIA	B2	
1809-4392	ACTA AMAZONICA	A3	
0044-5967	ACTA AMAZONICA (IMPRESSO)	A3	
1672-9145	ACTA BIOCHIMICA ET BIOPHYSICA SINICA	A3	
0120-548X	ACTA BIOLOGICA COLOMBIANA	B1	
1742-7061	ACTA BIOMATERIALIA	A1	
2236-0867	ACTA BIOMEDICA BRASILIENSIA	B4	
0392-4203	ACTA BIO-MEDICA DELL&APOS;ATENEO PARMENSE	A3	
0001-5342	ACTA BIOTHEORETICA	A1	
1677-941X	ACTA BOTANICA BRASILICA	A4	
0102-3306	ACTA BOTANICA BRASÍLICA (IMPRESSO)	A4	
2526-4338	ACTA BRASILIENSIS	C	
1733-5329	ACTA CHIROPTEROLOGICA (ONLINE)	A3	
0102-8650	ACTA CIRÚRGICA BRASILEIRA (IMPRESSO)	A4	
1678-2674	ACTA CIRÚRGICA BRASILEIRA (ONLINE)	A4	
2053-2296	ACTA CRYSTALLOGRAPHICA SECTION C: STRUCTURAL CHEMISTRY	B1	
2059-7983	ACTA CRYSTALLOGRAPHICA SECTION D	A1	
2056-9890	ACTA CRYSTALLOGRAPHICA SECTION E, CRYSTALLOGRAPHIC COMMUNICATIONS	B2	
2053-230X	ACTA CRYSTALLOGRAPHICA. SECTION F: STRUCTURAL BIOLOGY COMMUNICATIONS	B1	
0001-5547	ACTA CYTOLOGICA	B1	
