ISSN	Titulo	Estrato	Classificação
1982-5560	A REVISTA CRONOS	B5	
1676-0336	A TERCEIRA IDADE	B5	
0094-6354	A.A.N.A. JOURNAL	B3	
0102-6720	ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA	B3	
2357-8114	ABCS HEALTH SCIENCES	B3	
1981-4763	ACADEMIA - REVISTA DE DIVULGAÇÃO CIENTÍFICA EM CIÊNCIAS JURÍDICAS E SOCIAIS	B5	
2237-8723	ACERVO: REVISTA DO ARQUIVO NACIONAL	B4	
1091-5397	ACSM'S HEALTH & FITNESS JOURNAL (PRINT)	A2	
2236-0867	ACTA BIOMEDICA BRASILIENSIA	B3	
2238-2259	ACTA BRASILEIRA DO MOVIMENTO HUMANO	B5	
0001-5385	ACTA CARDIOLOGICA (IMPRIMÉ)	B1	
0253-7338	ACTA CIENCIA INDICA. CHEMISTRY	B5	
0102-8650	ACTA CIRÚRGICA BRASILEIRA (IMPRESSO)	B2	
1678-2674	ACTA CIRÚRGICA BRASILEIRA (ONLINE)	B2	
0123-9155	ACTA COLOMBIANA DE PSICOLOGIA	B3	
0188-8145	ACTA COMPORTAMENTALIA	B3	
2317-0190	ACTA FISIÁTRICA	B2	
0065-1281	ACTA HISTOCHEMICA (PRINT)	B4	
1646-0758	ACTA MÉDICA PORTUGUESA	B2	
0300-9009	ACTA NEUROLOGICA BELGICA	B1	
0001-6349	ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA	B1	
0326-4815	ACTA ODONTOLÓGICA LATINOAMERICANA	B3	
1809-4406	ACTA ORTOPÉDICA BRASILEIRA	A2	
1413-7852	ACTA ORTOPÉDICA BRASILEIRA	A2	
1413-7852	ACTA ORTOPÉDICA BRASILEIRA (IMPRESSO)	A2	
0001-6489	ACTA OTO-LARYNGOLOGICA	A2	
0803-5253	ACTA PAEDIATRICA (OSLO)	B1	
0103-2100	ACTA PAULISTA DE ENFERMAGEM (UNIFESP. IMPRESSO)	B2	
0231-424X	ACTA PHYSIOLOGICA HUNGARICA (PRINT)	B1	
1748-1716	ACTA PHYSIOLOGICA (ONLINE)	A1	
1748-1708	ACTA PHYSIOLOGICA (PRINT)	A1	
0001-6918	ACTA PSYCHOLOGICA	B2	
1679-9283	ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (IMPRESSO)	B3	
1807-863X	ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE)	B3	
2178-5198	ACTA SCIENTIARUM. EDUCATION (PRINT)	B4	
1679-9291	ACTA SCIENTIARUM. HEALTH SCIENCES (IMPRESSO)	B2	
1807-8648	ACTA SCIENTIARUM. HEALTH SCIENCES (ONLINE)	B2	
2336-6052	ACTA UNIVERSITATIS CAROLINAE KINANTHROPOLOGICA	B4	
0325-7533	ACTAS DE LA ACADEMIA NACIONAL DE CIENCIAS DE LA REPÚBLICA ARGENTINA	B4	
1409-4703	ACTUALIDADES INVESTIGATIVAS EN EDUCACIÓN	B2	
0964-5284	ACUPUNCTURE IN MEDICINE	B1	
0736-5829	ADAPTED PHYSICAL ACTIVITY QUARTERLY	A2	
1059-7123	ADAPTIVE BEHAVIOR	B1	
2177-5281	ADOLESCÊNCIA & SAÚDE	B2	
1679-9941	ADOLESCÊNCIA & SAÚDE (UERJ)	B2	
1687-9112	ADVANCES IN HEMATOLOGY	B3	
2156-5376	ADVANCES IN NUTRITION	A2	
2169-9712	ADVANCES IN PARKINSON'S DISEASE	B5	
2164-0386	ADVANCES IN PHYSICAL EDUCATION	B4	
2164-0408	ADVANCES IN PHYSICAL EDUCATION	B4	
1527-7941	ADVANCES IN SKIN & WOUND CARE	B1	
2055-0286	ADVANCES IN SOCIAL SCIENCES RESEARCH JOURNAL	B5	
2327-3569	ADVANCES IN STEM CELLS	B5	
2375-6314	AEROSPACE MEDICINE AND HUMAN PERFORMANCE	B1	
