ISSN	Titulo	Estrato	Classificação
0149-1423	AAPG BULLETIN (PRINT)	A2	
2316-9451	ABAKÓS	B4	
2316-9451	ABAKÓS	B4	
1980-4814	ABCUSTOS (SÃO LEOPOLDO, RS)	B5	
1085-3375	ABSTRACT AND APPLIED ANALYSIS	B3	
0065-7727	ABSTRACTS OF PAPERS. AMERICAN CHEMICAL SOCIETY	C 	
0065-7727	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY	C 	
2079-3456	ACADEMIC JOURNAL OF SURINAME	B5	
1519-7859	AÇÃO ERGONÔMICA	B5	
0001-4575	ACCIDENT ANALYSIS AND PREVENTION	A2	
0949-1775	ACCREDITATION AND QUALITY ASSURANCE	B1	
1049-3301	ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION	B1	
1049-331X	ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY	A2	
1944-8252	ACS APPLIED MATERIALS & INTERFACES (ONLINE)	A1	
1944-8244	ACS APPLIED MATERIALS & INTERFACES (PRINT)	A1	
1936-0851	ACS NANO	A1	
2330-4022	ACS PHOTONICS	A1	
2379-3694	ACS SENSORS	B4	
1809-4392	ACTA AMAZONICA	B2	
0044-5967	ACTA AMAZONICA (IMPRESSO)	B2	
0001-5172	ACTA ANAESTHESIOLOGICA SCANDINAVICA	B1	
0094-5765	ACTA ASTRONAUTICA	A2	
1742-7061	ACTA BIOMATERIALIA	A1	
2236-0867	ACTA BIOMEDICA BRASILIENSIA	B5	
1678-2674	ACTA CIRÚRGICA BRASILEIRA (ONLINE)	B1	
0108-7673	ACTA CRYSTALLOGRAPHICA. SECTION A, FOUNDATIONS OF CRYSTALLOGRAPHY	B4	
1895-6572	ACTA GEOPHYSICA (DRUK)	B1	
2316-4093	ACTA IGUAZU	B4	
2221-870X	ACTA IMEKO	C 	
2179-975X	ACTA LIMNOLOGICA BRASILIENSIA (ONLINE)	B3	
0001-5970	ACTA MECHANICA	A2	
0798-4545	ACTA MICROSCÓPICA - INTERAMERICAN COMMITTEE OF SOCIETIES FOR ELECTRON MICROSCOPY	B2	
0001-6357	ACTA ODONTOLOGICA SCANDINAVICA (TRYKT UTG.)	B1	
1809-4406	ACTA ORTOPÉDICA BRASILEIRA	B2	
1413-7852	ACTA ORTOPÉDICA BRASILEIRA (IMPRESSO)	B2	
1809-4406	ACTA ORTOPÉDICA BRASILEIRA (ONLINE)	B2	
1982-0194	ACTA PAUL DE ENFERM	B2	
0587-4246	ACTA PHYSICA POLONICA. A	B2	
0587-4254	ACTA PHYSICA POLONICA. B	B1	
1210-2709	ACTA POLYTECHNICA	B3	
2317-8957	ACTA SCIENTIAE ET TECHNICAE	B5	
1679-9216	ACTA SCIENTIAE VETERINARIAE (ONLINE)	B2	
1807-8648	ACTA SCIENTIARUM. HEALTH SCIENCES (ONLINE)	B4	
1806-2563	ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO)	B2	
1807-8664	ACTA SCIENTIARUM. TECHNOLOGY (ONLINE)	B2	
2067-3809	ACTA TECHNIKA CORVINIENSIS	B5	
1982-422X	ACTA TECNOLÓGICA	B5	
0001-706X	ACTA TROPICA	A2	
1850-2032	ACTAS DE DISEÑO	B5	
1765-2723	ACTIVITES	B4	
2076-0825	ACTUATORS	B4	
1983-442X	ACÚSTICA E VIBRAÇÕES	B5	
1610-1928	ACUSTICA UNITED WITH ACTA ACUSTICA	B1	
1570-8705	AD HOC NETWORKS	A2	
2175-5787	ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL	B5	
0263-6174	ADSORPTION SCIENCE & TECHNOLOGY	B1	
2326-7488	ADVANCED CHEMISTRY LETTERS	B4	
0924-3046	ADVANCED COMPOSITE MATERIALS (PRINT)	B1	
1438-1656	ADVANCED ENGINEERING MATERIALS (PRINT)	B1	
1662-8985	ADVANCED MATERIALS RESEARCH	C 	
1022-6680	ADVANCED MATERIALS RESEARCH	C 	
1662-8985	ADVANCED MATERIALS RESEARCH (ONLINE)	C 	
0935-9648	ADVANCED MATERIALS (WEINHEIM PRINT)	A1	
0169-1864	ADVANCED ROBOTICS (PRINT)	B2	
2287-528X	ADVANCES IN AIRCRAFT & SPACECRAFT SCIENCE	B4	
1743-6753	ADVANCES IN APPLIED CERAMICS (PRINT)	A2	
0188-7009	ADVANCES IN APPLIED CLIFFORD ALGEBRAS	B1	
2070-0733	ADVANCES IN APPLIED MATHEMATICS AND MECHANICS	B1	
2167-7670	ADVANCES IN AUTOMOBILE ENGINEERING	C 	
2160-0392	ADVANCES IN CHEMICAL ENGINEERING AND SCIENCE	C 	
2165-3984	ADVANCES IN CIVIL ENGINEERING MATERIALS (ONLINE)	B3	
