ISSN	TÌtulo	Estrato
1530-9932	AAPS PHARMSCITECH	A3
2318-4965	ABCS HEALTH SCIENCES	B1
1076-6332	ACADEMIC RADIOLOGY	A3
2156-5155	ACADEMY OF BUSINESS EDUCATION. JOURNAL	B3
0360-0300	ACM COMPUTING SURVEYS	A1
1550-4832	ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS	A3
1544-3566	ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION	A4
1084-4309	ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS	A4
1046-8188	ACM TRANSACTIONS ON INFORMATION SYSTEMS	A1
2157-6904	ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY	A1
1533-5399	ACM TRANSACTIONS ON INTERNET TECHNOLOGY	A2
0098-3500	ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE	A1
2376-3639	ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS	A3
1551-6857	ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS	A2
2574-0970	ACS  APPLIED NANO MATERIALS	A4
2576-6422	ACS APPLIED BIO MATERIALS	B2
1944-8252	ACS APPLIED MATERIALS & INTERFACES (ONLINE)	A1
1944-8244	ACS APPLIED MATERIALS & INTERFACES (PRINT)	A1
2373-9878	ACS BIOMATERIALS SCIENCE & ENGINNERING	A2
2373-8227	ACS INFECTIOUS DISEASES	A1
2470-1343	ACS OMEGA	A4
2330-4022	ACS PHOTONICS	A1
0001-5172	ACTA ANAESTHESIOLOGICA SCANDINAVICA	A2
0167-8019	ACTA APPLICANDAE MATHEMATICAE	A3
0094-5765	ACTA ASTRONAUTICA	A1
1742-7061	ACTA BIOMATERIALIA	A1
0102-8650	ACTA CIR⁄RGICA BRASILEIRA (IMPRESSO)	A4
1678-2674	ACTA CIR⁄RGICA BRASILEIRA (ONLINE)	A4
0104-7795	ACTA FISIATRICA	B2
0065-1281	ACTA HISTOCHEMICA (PRINT)	A4
