ISSN	Titulo	Estrato	Classificação
2594-9675	A COR DAS LETRAS	A3	
0149-1423	AAPG BULLETIN (PRINT)	A1	
2357-8114	ABCS HEALTH SCIENCES	B1	
2168-0485	ACS SUSTAINABLE CHEMISTRY & ENGINEERING	A1	
1809-4392	ACTA AMAZONICA	A3	
0044-5967	ACTA AMAZONICA (IMPRESSO)	A3	
0120-548X	ACTA BIOLOGICA COLOMBIANA	B1	
1677-941X	ACTA BOTANICA BRASILICA	A4	
0102-3306	ACTA BOTANICA BRASÍLICA (IMPRESSO)	A4	
2526-4338	ACTA BRASILIENSIS	C	
2526-432X	ACTA BRASILIENSIS	C	
0583-6050	ACTA CARSOLOGICA	A4	
2605-2202	ACTA DE LAS JORNADAS CIENTÍFICAS DE LA ASOCIACIÓN METEOROLÓGICA ESPAÑOLA	B4	
2357-8068	ACTA DE PESCA DE RECURSOS AQUATICOS	B4	
2336-4351	ACTA GEODYNAMICA ET GEOMATERIALIA	B2	
2177-4307	ACTA GEOGRAFICA	A2	
1980-5772	ACTA GEOGRÁFICA (UFRR)	A2	
0001-5709	ACTA GEOLOGICA POLONICA	A4	
1000-9515	ACTA GEOLOGICA SINICA (BEIJING)	A4	
1895-6572	ACTA GEOPHYSICA	B1	
1861-1125	ACTA GEOTECHNICA (BERLIN. PRINT)	A1	
0137-1592	ACTA ICHTHYOLOGICA ET PISCATORIA	B3	
2316-4093	ACTA IGUAZU	B4	
2179-975X	ACTA LIMNOLOGICA BRASILIENSIA (ONLINE)	B2	
0798-4545	ACTA MICROSCÓPICA - INTERAMERICAN COMMITTEE OF SOCIETIES FOR ELECTRON MICROSCOPY	B3	
0567-7920	ACTA PALAEONTOLOGICA POLONICA	A3	
1807-863X	ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE)	B2	
1806-2563	ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO)	B2	
1807-8664	ACTA SCIENTIARUM. TECHNOLOGY (ONLINE)	B2	
0001-6977	ACTA SOCIETATIS BOTANICORUM POLONIAE	B1	
1463-6395	ACTA ZOOLOGICA ONLINE	A3	
0929-5607	ADSORPTION (BOSTON)	A2	
0256-1530	ADVANCES IN ATMOSPHERIC SCIENCES	A4	
2156-8456	ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY (IMPRESSO)	B3	
