ISSN	Titulo	Estrato	Classificação
2328-0662	ISOJ JOURNAL	C	
2238-0272	10.ART	NP	
2177-5141	(N.T.) REVISTA LITERÁRIA EM TRADUÇÃO	C	
2237-5953	(RE) PENSANDO DIREITO	B4	
2318-7344	aRQUIVO BRASILEIRO DE EDUCAÇÃO	C	
2409-3823	[C]COMPASSESWORLD: THE ARCHITECTURE AND INTERIOR DESIGN INTERNATIONAL NETWORK | MIDDLE EAST	NP	
2469-4312	[IN] TRANSITION	B2	
1983-9537	14º	NP	
1981-030X	19&20 (RIO DE JANEIRO)	B1	
2317-9953	1ª ANÁLISE - SEADE	NP	
0094-2898	2010 42ND SOUTHEASTERN SYMPOSIUM ON SYSTEM THEORY (SSST)	NP	
2236-4285	20ª. COMPÓS	NP	
2053-1583	2D MATERIALS	A2	
2237-6143	2º CONGRESSO BRASILEIRO DE ENGENHARIA DE PRODUÇÃO	NP	
2237-8758	2º SIMPÓSIO INTERNACIONAL DE ENSINO DE LÍNGUA PORTUGUESA	B1	
2190-5738	3 BIOTECH	A4	
1668-2939	30-60 CUADERNO LATINOAMERICANO DE ARQUITECTURA	C	
2329-7662	3D PRINTING AND ADDITIVE MANUFACTURING	A2	
2329-7670	3D PRINTING AND ADDITIVE MANUFACTURING (ONLINE)	A2	
1619-4500	4OR (BERLIN)	A2	
1808-1142	5% ARQUITETURA + ARTE	A4	
2175-8182	53 CONGRESSO BRASILEIRO DO CONCRETO - IBRACON 2011	C	
2175-8174	54 CONGRESSO BRASILEIRO DO CONCRETO CBC2011	C	
2175-8132	978-85-98936-04-8	NP	
2525-6556	A (IN)AFASTABILIDADE DOS DIREITOS FUNDAMENTAIS NO ÂMBITO DAS RELAÇÕES PRIVADAS.	B4	
0104-7922	A AGUA EM REVISTA	C	
2236-6695	A BARRIGUDA: REVISTA CIENTÍFICA	B3	
2594-8245	A BRUXA	C	
0871-1097	A CIDADE (PORTALEGRE)	C	
2237-0455	A COMUNICAÇÃO DIALÓGICA ENTRE UNIVERSIDADE E COMUNIDADE	B4	
1548-7083	A CONTRACORRIENTE (RALEIGH, N.C.)	B3	
2145-1958	A CONTRATIEMPO	C	
2594-9675	A COR DAS LETRAS	A3	
1415-8973	A COR DAS LETRAS (UEFS)	A3	
0011-7641	A DEFESA NACIONAL	B4	
1413-6090	A ECONOMIA EM REVISTA	B3	
2236-2029	A ECONOMIA EM REVISTA - AERE	B3	
1983-6422	A FÍSICA NA ESCOLA (IMPRESSO)	B1	
1557-8100	A JOURNAL OF INTEGRATIVE BIOLOGY	A4	
0023-9135	A LAVOURA (RIO DE JANEIRO)	C	
1984-1035	A LEITURA: CADERNO DA ESCOLA SUPERIOR DE MAGISTRATURA DO ESTADO DO PARÁ	C	
2175-2516	A MARGEM: REVISTA ELETRÔNICA DE CIÊNCIAS HUMANAS, LETRAS E ARTES	B3	
1647-3248	A PÁGINA DA EDUCAÇÃO	NP	
2236-4536	A PALAVRADA	C	
2176-3356	A PALO SECO: ESCRITOS DE FILOSOFIA E LITERATURA	C	
2175-6104	A PESTE: REVISTA DE PSICANÁLISE E SOCIEDADE	C	
2319-037X	A REVISTA EM FOCO	C	
1676-0336	A TERCEIRA IDADE	B4	
2175-1951	A VIDA DE QUEM NÃO MORRE	C	
1516-3210	A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL (IMPRESSO)	A2	
2448-5764	A&H	B2	
2362-6089	A&P CONTINUIDAD	A4	
0044-5592	A. RIVISTA ANARCHICA	C	
0094-6354	A.A.N.A. JOURNAL	A3	
1028-3072	AAA. ARCHIVOS DE ARQUITECTURA ANTILLANA	C	
1559-7776	AACN ADVANCED CRITICAL CARE	B1	
1232-1966	AAEM. ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE	B3	
0149-1423	AAPG BULLETIN (PRINT)	A1	
1522-1059	AAPS PHARMSCI	A3	
1530-9932	AAPS PHARMSCITECH	A3	
2375-3803	AASCIT COMMUNICATIONS	C	
2381-1285	AASCIT JOURNAL OF HEALTH (ONLINE)	C	
1532-8813	AATCC REVIEW	C	
2471-0938	AB-ORIGINAL. JOURNAL OF INDIGENOUS STUDIES AND FIRST NATIONS AND FIRST PEOPLES' CULTURES	B3	
0747-0088	ABA JOURNAL	B1	
0213-6252	ABACO (GIJÓN)	A4	
0001-3072	ABACUS (SYDNEY. PRINT)	B1	
2316-9451	ABAKÓS	B2	
1784-1283	ABC TAXA	C	
2318-8219	ABC: IMAGEM CARDIOVASCULAR	C	
0102-6720	ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA	B1	
2318-4965	ABCS HEALTH SCIENCES	A3	
2357-8114	ABCS HEALTH SCIENCES	A3	
1980-4814	ABCUSTOS (SÃO LEOPOLDO, RS)	B3	
0942-8925	ABDOMINAL IMAGING	A3	
2366-0058	ABDOMINAL RADIOLOGY (ONLINE)	B1	
2596-0873	ABEÁFRICA	B3	
2238-3026	ABEHACHE	B3	
1518-0581	ABEI JOURNAL (SÃO PAULO)	C	
2527-0605	ABIODUM	C	
1809-8630	ABRAMET. ASSOCIAÇÃO BRASILEIRA DE MEDICINA DE TRÁFEGO	C	
1984-2090	ABRIL (NITERÓI)	B3	
2014-8534	ABRIU: TEXTUALITY STUDIES ON BRAZIL, GALICIA AND PORTUGAL	B1	
1807-9792	ABSTRACTA : LINGUAGEM, MENTE E AÇÃO (NITERÓI)	B3	
0065-7727	ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY	C	
1060-2011	ABSTRACTS OF THE GENERAL MEETING OF THE AMERICAN SOCIETY FOR MICROBIOLOGY	NP	
2526-6675	ABYA-YALA: REVISTA SOBRE ACESSO À JUSTIÇA E DIREITOS NAS AMÉRICAS	C	
2595-3915	ACÁCIA	C	
1981-4763	ACADEMIA - REVISTA DE DIVULGAÇÃO CIENTÍFICA EM CIÊNCIAS JURÍDICAS E SOCIAIS	C	
1676-3769	ACADEMIA (ACADEMIA DE CIÊNCIAS SOCIAIS DO CEARÁ)	C	
1012-8255	ACADEMIA (CARACAS)	A3	
2241-1402	ACADEMIA (ONLINE)	B4	
2315-7739	ACADEMIA JOURNAL OF AGRICULTURAL RESEARCH	B4	
2315-7747	ACADEMIA JOURNAL OF BIOTECHNOLOGY	C	
2315-7704	ACADEMIA JOURNAL OF EDUCATIONAL RESEARCH	C	
2315-778X	ACADEMIA JOURNAL OF ENVIRONMENTAL SCIENCE	C	
2315-7720	ACADEMIA JOURNAL OF MEDICINAL PLANTS	C	
2315-7771	ACADEMIA JOURNAL OF MICROBIOLOGY RESEARCH	C	
2315-7712	ACADEMIA JOURNAL OF SCIENTIFIC RESEARCH	C	
1069-6563	ACADEMIC EMERGENCY MEDICINE	A1	
2281-3993	ACADEMIC JOURNAL OF INTERDISCIPLINARY STUDIES	B4	
2474-7521	ACADEMIC JOURNAL OF PEDIATRICS E NEONATOLOGY	C	
2079-3456	ACADEMIC JOURNAL OF SURINAME	B4	
1040-2446	ACADEMIC MEDICINE	A1	
1876-2859	ACADEMIC PEDIATRICS (PRINT)	A2	
1042-9670	ACADEMIC PSYCHIATRY	A2	
1076-6332	ACADEMIC RADIOLOGY	A3	
2318-1494	ACADÊMICO MUNDO	B3	
1631-0691	ACADEMIE DES SCIENCES. COMPTES RENDUS. BIOLOGIES	A2	
1806-9495	ACADEMUS: REVISTA CIENTÍFICA DA SAÚDE	B4	
1528-2686	ACADEMY OF ENTREPRENEURSHIP JOURNAL	A4	
0001-4265	ACADEMY OF GENERAL DENTISTRY	C	
2151-6561	ACADEMY OF MANAGEMENT ANNUAL MEETING PROCEEDINGS	B4	
1543-8643	ACADEMY OF MANAGEMENT PROCEEDINGS	NP	
1095-6298	ACADEMY OF MARKETING STUDIES JOURNAL	A4	
1939-6104	ACADEMY OF STRATEGIC MANAGEMENT JOURNAL	B1	
2358-6559	ACANTO EM REVISTA	B4	
1519-7859	AÇÃO ERGONÔMICA	C	
2238-0701	AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA	B2	
0132-8077	ACARINA: RUSSIAN JOURNAL OF ACAROLOGY	B1	
0044-586X	ACAROLOGIA (LA VARENNE-SUR-SEINE)	B1	
0001-4575	ACCIDENT ANALYSIS AND PREVENTION	A1	
0810-5391	ACCOUNTING AND FINANCE (PARKVILLE. PRINT)	A2	
1541-115X	ACCOUNTING DEPARTMENT MANAGEMENT REPORT	C	
0963-9284	ACCOUNTING EDUCATION: AN INTERNATIONAL JOURNAL	A2	
0155-9982	ACCOUNTING FORUM (ADELAIDE. PRINT)	A2	
1068-6452	ACCOUNTING TECHNOLOGY	NP	
0951-3574	ACCOUNTING, AUDITING & ACCOUNTABILITY JOURNAL	A1	
0001-4842	ACCOUNTS OF CHEMICAL RESEARCH	A1	
0949-1775	ACCREDITATION AND QUALITY ASSURANCE	B2	
1678-1899	ACDC EM AÇÃO (ONLINE)	C	
1697-4123	ACE (BARCELONA. INTERNET)	C	
2358-5587	ACENO - REVISTA DE ANTROPOLOGIA DO CENTRO-OESTE	A3	
2237-8723	ACERVO: REVISTA DO ARQUIVO NACIONAL	A3	
2319-0698	ACESSO LIVRE	B1	
2326-3253	ACG CASE REPORTS JOURNAL	B1	
0329-9147	ACHERONTA (EN LÍNEA)	B4	
2318-5724	ACHIOTE.COM ¿ REVISTA ELETRÔNICA DE MODA	B3	
