ISSN	Titulo	Estrato	Classificação
0953-7198	A & E LETTER (LONDON)	C	
2965-7822	A BARCA (ONLINE)	B4	
1548-7083	A CONTRACORRIENTE (RALEIGH, N.C.)	C	
2594-9675	A COR DAS LETRAS	A3	
1415-8973	A COR DAS LETRAS (UEFS)	A3	
0011-7641	A DEFESA NACIONAL	B2	
1983-6430	A FÍSICA NA ESCOLA (ONLINE)	A4	
2763-9908	A FORTIORI	C	
2764-4669	A LUZ EM CENA	A4	
2175-2516	A MARGEM: REVISTA ELETRÔNICA DE CIÊNCIAS HUMANAS, LETRAS E ARTES	B4	
1053-1238	A QUARTERLY BULLETIN OF THE COMPUTER SOCIETY OF THE IEEE TECHNICAL COMMITTEE ON DATA ENGINEERING	B1	
1982-5560	A REVISTA CRONOS	B3	
2319-037X	A REVISTA EM FOCO	C	
2764-6335	AAAI ARQUIVOS DE ASMA, ALERGIA E IMUNOLOGIA	B3	
1232-1966	AAEM. ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE	A4	
1530-9932	AAPS PHARMSCITECH	A2	
0213-6252	ABACO (GIJÓN)	B4	
2316-9451	ABAKÓS	B3	
2675-6781	ABATIRÁ	A4	
2764-3107	ABC HEART FAILURE & CARDIOMYOPATHY	B4	
2318-8219	ABC: IMAGEM CARDIOVASCULAR	B4	
2675-312X	ABC IMAGEM CARDIOVASCULAR	B4	
0102-6720	ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA	A3	
2318-4965	ABCS HEALTH SCIENCES	B2	
2357-8114	ABCS HEALTH SCIENCES	B2	
1980-4814	ABCUSTOS (SÃO LEOPOLDO, RS)	B2	
2596-0873	ABEÁFRICA	B1	
2238-3026	ABEHACHE	B2	
2595-8127	ABEI JOURNAL	B1	
1518-0581	ABEI JOURNAL (SÃO PAULO)	B1	
2662-1738	ABIOTECH	A1	
1984-2090	ABRIL (NITERÓI)	A2	
2526-6675	ABYA-YALA: REVISTA SOBRE ACESSO À JUSTIÇA E DIREITOS NAS AMÉRICAS	A4	
1516-3210	A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL (IMPRESSO)	A1	
2315-7712	ACADEMIA JOURNAL OF SCIENTIFIC RESEARCH	B3	
2771-9359	ACADEMIA LETTERS	A3	
1069-6563	ACADEMIC EMERGENCY MEDICINE	A1	
2281-3993	ACADEMIC JOURNAL OF INTERDISCIPLINARY STUDIES	A3	
1040-2446	ACADEMIC MEDICINE	A1	
2335-4194	ACADEMICA TURISTICA	A4	
1806-9495	ACADEMUS: REVISTA CIENTÍFICA DA SAÚDE	B4	
0001-4273	ACADEMY OF MANAGEMENT JOURNAL	A1	
2965-7318	AÇÃO ERGONÔMICA (ONLINE)	C	
2238-0701	AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA	B1	
2107-7207	ACAROLOGIA	A4	
2516-8290	ACCESS MICROBIOLOGY	B2	
0001-4575	ACCIDENT ANALYSIS AND PREVENTION	A1	
0963-9284	ACCOUNTING EDUCATION	A1	
0949-1775	ACCREDITATION AND QUALITY ASSURANCE	B1	
2972-4570	ACCSCIENCE PUBLISHING (ONLINE)	B4	
2358-5587	ACENO - REVISTA DE ANTROPOLOGIA DO CENTRO-OESTE	A3	
2237-8723	ACERVO: REVISTA DO ARQUIVO NACIONAL	A1	
0889-325X	ACI MATERIALS JOURNAL	A3	
2763-7395	ACINNET JOURNAL - RESEARCH, ACADEMIC MOBILITY AND INNOVATION	B4	
0360-0300	ACM COMPUTING SURVEYS	A1	
0097-8418	ACM SIGCSE BULLETIN	B3	
1946-6226	ACM TRANSACTIONS ON COMPUTING EDUCATION	A1	
1539-9087	ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS	A3	
2157-6904	ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY	A1	
1556-4681	ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA	A2	
1551-6857	ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS	A1	
2770-6699	ACM TRANSACTIONS ON RECOMMENDER SYSTEMS (ONLINE)	B2	
2574-0970	ACS  APPLIED NANO MATERIALS	A2	
2692-1952	ACS AGRICULTURAL SCIENCE & TECHNOLOGY	A2	
2576-6422	ACS APPLIED BIO MATERIALS	A2	
2637-6113	ACS APPLIED ELECTRONIC MATERIALS	A2	
2574-0962	ACS APPLIED ENERGY MATERIALS	A1	
2771-9545	ACS APPLIED ENGINEERING MATERIALS	B1	
1944-8244	ACS APPLIED MATERIALS & INTERFACES (PRINT)	A1	
2637-6105	ACS APPLIED POLYMER MATERIALS	A2	
2373-9878	ACS BIOMATERIALS SCIENCE & ENGINNERING	A2	
2155-5435	ACS CATALYSIS	A1	
1554-8937	ACS CHEMICAL BIOLOGY	A3	
1948-7193	ACS CHEMICAL NEUROSCIENCE	A2	
2472-3452	ACS EARTH AND SPACE CHEMISTRY	A3	
2690-0637	ACS ES&T WATER	A1	
