ISSN	Titulo	Estrato	Classificação
2328-0662	ISOJ JOURNAL	C	
1522-1059	AAPS PHARMSCI	A1	
2381-1285	AASCIT JOURNAL OF HEALTH (ONLINE)	C	
2675-6781	ABATIRÁ	C	
0102-6720	ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA	A4	
2357-8114	ABCS HEALTH SCIENCES	B1	
2318-4965	ABCS HEALTH SCIENCES	B1	
2366-0058	ABDOMINAL RADIOLOGY (ONLINE)	A4	
1518-0581	ABEI JOURNAL (SÃO PAULO)	B2	
1809-8630	ABRAMET. ASSOCIAÇÃO BRASILEIRA DE MEDICINA DE TRÁFEGO	C	
2315-778X	ACADEMIA JOURNAL OF ENVIRONMENTAL SCIENCE	A4	
2315-7712	ACADEMIA JOURNAL OF SCIENTIFIC RESEARCH	B3	
2474-7521	ACADEMIC JOURNAL OF PEDIATRICS E NEONATOLOGY	C	
2165-6282	ACADEMIC JOURNAL OF SCIENCE	C	
1042-9670	ACADEMIC PSYCHIATRY	A2	
1806-9495	ACADEMUS: REVISTA CIENTÍFICA DA SAÚDE	C	
0001-4265	ACADEMY OF GENERAL DENTISTRY	B2	
0132-8077	ACARINA: RUSSIAN JOURNAL OF ACAROLOGY	B1	
0044-586X	ACAROLOGIA (LA VARENNE-SUR-SEINE)	A4	
0001-4575	ACCIDENT ANALYSIS AND PREVENTION	A1	
2358-5587	ACENO - REVISTA DE ANTROPOLOGIA DO CENTRO-OESTE	A2	
2319-0698	ACESSO LIVRE	B2	
1948-7193	ACS CHEMICAL NEUROSCIENCE	A2	
2472-3452	ACS EARTH AND SPACE CHEMISTRY	A2	
2373-8227	ACS INFECTIOUS DISEASES	A1	
2470-1343	ACS OMEGA	A4	
0120-2812	ACTA AGRONOMICA	B3	
1809-4392	ACTA AMAZONICA	A3	
1726-569X	ACTA BIOETHICA (EN LÍNEA)	B3	
0301-2123	ACTA BIOLÓGICA PARANAENSE	C	
2236-0867	ACTA BIOMEDICA BRASILIENSIA	B4	
0102-8650	ACTA CIRÚRGICA BRASILEIRA (IMPRESSO)	A4	
1678-2674	ACTA CIRÚRGICA BRASILEIRA (ONLINE)	A4	
1909-9711	ACTA COLOMBIANA DE PSICOLOGIA	A1	
0940-5429	ACTA DIABETOLOGICA (PRINT)	A2	
0104-7795	ACTA FISIATRICA	B2	
2317-0190	ACTA FISIÁTRICA	B2	
0300-9033	ACTA GASTROENTEROLÓGICA LATINOAMERICANA	B3	
0065-1281	ACTA HISTOCHEMICA (PRINT)	A4	
2179-975X	ACTA LIMNOLOGICA BRASILIENSIA (ONLINE)	B2	
0870-399X	ACTA MÉDICA PORTUGUESA	B1	
1646-0758	ACTA MÉDICA PORTUGUESA	B1	
