Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;28773;"Ca-A Cancer Journal for Clinicians";journal;"15424863, 00079235";"John Wiley and Sons Inc";No;No;104,065;Q1;236;48;127;4331;29333;76;285,55;90,23;46,34;2;United States;Northern America;"John Wiley and Sons Inc";"1950-2026";"Hematology (Q1); Oncology (Q1)";"Medicine"
2;20315;"Nature Reviews Molecular Cell Biology";journal;"14710072, 14710080";"Nature Research";No;No;35,568;Q1;553;122;350;12007;16938;176;45,22;98,42;34,87;0;United Kingdom;Western Europe;"Nature Research";"2000-2026";"Cell Biology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology"
3;29431;"Quarterly Journal of Economics";journal;"00335533, 15314650";"Oxford University Press";No;No;33,069;Q1;336;60;144;4637;2630;144;17,30;77,28;27,33;38;United Kingdom;Western Europe;"Oxford University Press";"1886-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
4;20425;"Nature Reviews Drug Discovery";journal;"14741784, 14741776";"Nature Research";No;No;32,577;Q1;428;247;716;9627;12533;117;15,31;38,98;30,70;6;United Kingdom;Western Europe;"Nature Research";"2002-2026";"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
5;17700156734;"Nature Reviews Clinical Oncology";journal;"17594782, 17594774";"Nature Publishing Group";No;No;28,076;Q1;259;126;387;10383;14731;180;36,54;82,40;30,71;2;United Kingdom;Western Europe;"Nature Publishing Group";"2009-2026";"Oncology (Q1)";"Medicine"
6;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";"Centers for Disease Control and Prevention (CDC)";Yes;No;27,974;Q1;158;2;15;110;1287;15;56,36;55,00;72,22;0;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2025";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
7;29093;"Cancer Cell";journal;"15356108, 18783686";"Cell Press";No;No;26,632;Q1;436;202;556;12133;17747;315;34,25;60,06;40,95;1;United States;Northern America;"Cell Press";"2002-2026";"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
8;18434;"Cell";journal;"00928674, 10974172";"Elsevier B.V.";No;No;24,592;Q1;956;500;1375;42721;46868;1043;33,28;85,44;39,48;4;United States;Northern America;"Elsevier B.V.";"1974-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology"
9;24202;"Review of Economic Studies";journal;"00346527, 1467937X";"Oxford University Press";No;No;23,622;Q1;184;116;288;7482;3344;288;11,42;64,50;17,08;66;United Kingdom;Western Europe;"Oxford University Press";"1933-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
10;22697;"American Economic Review";journal;"19447981, 00028282";"American Economic Association";No;No;23,489;Q1;399;120;323;8756;4759;322;9,55;72,97;24,60;46;United States;Northern America;"American Economic Association";"1973-1975, 1978-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
11;16115;"Nature Biotechnology";journal;"15461696, 10870156";"Nature Research";No;No;23,109;Q1;553;534;1167;17945;20687;528;16,71;33,60;37,04;8;United Kingdom;Western Europe;"Nature Research";"1985, 1987, 1989-2026";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology"
12;12464;"Nature Reviews Cancer";journal;"1474175X, 14741768";"Nature Research";No;No;22,814;Q1;548;115;335;11492;9851;162;25,80;99,93;40,93;0;United Kingdom;Western Europe;"Nature Research";"2001-2026";"Cancer Research (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
13;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;22,270;Q1;386;86;243;5002;3233;236;12,30;58,16;21,15;25;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
14;28711;"Annals of Oncology";journal;"15698041, 09237534";"Elsevier Ltd";No;No;21,715;Q1;331;244;471;6883;12368;266;25,93;28,21;39,15;5;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2026";"Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)";"Medicine"
15;21100812243;"Nature Reviews Materials";journal;"20588437";"Nature Publishing Group";No;No;20,801;Q1;242;112;353;11047;13285;194;33,95;98,63;29,37;0;United Kingdom;Western Europe;"Nature Publishing Group";"2016-2026";"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)";"Energy; Materials Science"
16;6200180159;"World Psychiatry";journal;"20515545, 17238617";"John Wiley and Sons Inc";Yes;No;20,787;Q1;170;115;324;4667;5053;64;16,09;40,58;51,18;1;United States;Northern America;"John Wiley and Sons Inc";"2007-2026";"Psychiatry and Mental Health (Q1)";"Medicine"
17;21100812579;"Nature Energy";journal;"20587546";"Springer Nature";No;No;20,769;Q1;291;232;676;7149;20965;407;32,01;30,81;25,96;15;United States;Northern America;"Springer Nature";"2016-2026";"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
18;18991;"Nature Reviews Genetics";journal;"14710056, 14710064";"Nature Research";No;No;20,403;Q1;458;121;355;10492;9216;206;23,75;86,71;33,19;2;United Kingdom;Western Europe;"Nature Research";"2000-2026";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
19;19482;"Econometrica";journal;"00129682, 14680262";"Wiley-Blackwell Publishing Ltd";No;No;19,935;Q1;242;76;243;3625;1956;233;5,94;47,70;16,23;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1985, 1990-1991, 1994-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
20;21206;"Nature";journal;"14764687, 00280836";"Nature Research";No;No;19,713;Q1;1495;4312;9184;95886;174825;3834;18,62;22,24;34,76;127;United Kingdom;Western Europe;"Nature Research";"1869-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
21;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;18,748;Q1;355;143;401;8293;6073;399;8,99;57,99;22,16;31;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
22;20313;"Nature Reviews Microbiology";journal;"17401534, 17401526";"Nature Research";No;No;18,406;Q1;421;137;451;9937;16899;255;36,94;72,53;40,14;0;United Kingdom;Western Europe;"Nature Research";"2003-2026";"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1)";"Immunology and Microbiology; Medicine"
23;15847;"New England Journal of Medicine";journal;"00284793, 15334406";"Massachussetts Medical Society";No;No;18,397;Q1;1275;1292;4088;15085;78334;1740;19,70;11,68;38,20;0;United States;Northern America;"Massachussetts Medical Society";"1945-2026";"Medicine (miscellaneous) (Q1)";"Medicine"
24;19700200701;"Annual Review of Economics";journal;"19411383, 19411391";"Annual Reviews Inc.";No;No;17,768;Q1;97;30;84;3832;1499;84;13,14;127,73;25,42;11;United States;Northern America;"Annual Reviews Inc.";"2010-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
25;21100888816;"Signal Transduction and Targeted Therapy";journal;"20593635, 20959907";"Springer Nature";Yes;No;17,740;Q1;224;423;1207;57802;58350;843;51,26;136,65;41,28;3;United Kingdom;Western Europe;"Springer Nature";"2016-2026";"Cancer Research (Q1); Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
26;21318;"Nature Reviews Immunology";journal;"14741741, 14741733";"Nature Research";No;No;17,646;Q1;511;137;448;11604;11474;253;25,43;84,70;30,30;0;United Kingdom;Western Europe;"Nature Research";"2001-2026";"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine"
