ISSN	Titulo	Estrato	Classificação
2190-5738	3 BIOTECH	B2
2236-6695	A BARRIGUDA: REVISTA CIENTÍFICA	B5
0101-9163	A HORA VETERINÁRIA	B4
0271-8529	AAPG MEMOIR	B1
0747-0088	ABA JOURNAL	B2
2318-4965	ABCS HEALTH SCIENCES	B5
1085-3375	ABSTRACT AND APPLIED ANALYSIS	B1
2315-7739	ACADEMIA JOURNAL OF AGRICULTURAL RESEARCH	B4
2315-7720	ACADEMIA JOURNAL OF MEDICINAL PLANTS	B5
1631-0691	ACADEMIE DES SCIENCES. COMPTES RENDUS. BIOLOGIES	B1
0044-586X	ACAROLOGIA (LA VARENNE-SUR-SEINE)	B1
0949-1775	ACCREDITATION AND QUALITY ASSURANCE	B2
1981-867X	ACERVO ON-LINE DE MÍDIA REGIONAL (UNITAU)	B5
0889-325X	ACI MATERIALS JOURNAL	A2
1094-9224	ACM TRANSACTIONS ON INFORMATION AND SYSTEM SECURITY	B2
1944-8252	ACS APPLIED MATERIALS & INTERFACES (ONLINE)	A1
1944-8244	ACS APPLIED MATERIALS & INTERFACES (PRINT)	A1
2155-5435	ACS CATALYSIS	A1
2470-1343	ACS OMEGA	B5
2168-0485	ACS SUSTAINABLE CHEMISTRY & ENGINEERING	A1
1331-7768	ACS. AGRICULTURAE CONSPECTUS SCINTIFICUS (TISAK)	B2
2345-6817	ACTA ADVANCES IN AGRICULTURAL SCIENCES	B5
0906-4710	ACTA AGRICULTURAE SCANDINAVICA. SECTION B, SOIL AND PLANT SCIENCE	B1
1651-1913	ACTA AGRICULTURAE SCANDINAVICA. SECTION B. SOIL AND PLANT SCIENCE	B1
0120-2812	ACTA AGRONOMICA	B2
0139-3006	ACTA ALIMENTARIA (PRINT)	B2
0139-3006	ACTA ALIMENTARIA: AN INTERNATIONAL JOURNAL OF FOOD SCIENCE	B2
0044-5967	ACTA AMAZONICA	B1
1809-4392	ACTA AMAZONICA	B1
0044-5967	ACTA AMAZONICA (IMPRESSO)	B1
1672-9145	ACTA BIOCHIMICA ET BIOPHYSICA SINICA	B1
0120-548X	ACTA BIOL. COLOMB.	B2
0120-548X	ACTA BIOLOGICA COLOMBIANA	B2
2358-3363	ACTA BIOLÓGICA CATARINENSE	B3
0301-2123	ACTA BIOLÓGICA PARANAENSE	B3
2236-0867	ACTA BIOMEDICA BRASILIENSIA	B4
0102-3306	ACTA BOTANICA BRASILICA	B1
1677-941X	ACTA BOTANICA BRASILICA	B1
1677-941X	ACTA BOTANICA BRASILICA	B1
0102-3306	ACTA BOTANICA BRASÍLICA (IMPRESSO)	B1
0365-0588	ACTA BOTANICA CROATICA	B2
1253-8078	ACTA BOTANICA GALLICA	B2
1233-2356	ACTA CHROMATOGRAPHICA	B2
0102-8650	ACTA CIRÚRGICA BRASILEIRA (IMPRESSO)	B2
1678-2674	ACTA CIRÚRGICA BRASILEIRA (ONLINE)	B2
0970-2881	ACTA ECOLOGICA (KOTA)	B5
2177-4307	ACTA GEOGRAFICA	B4
1980-5772	ACTA GEOGRÁFICA (UFRR)	B4
0065-1281	ACTA HISTOCHEMICA (PRINT)	B2
2406-6168	ACTA HORTICULTURAE	B4
2316-4093	ACTA IGUAZU	B3
2316-4093	ACTA IGUAZU	B3
2316-4093	ACTA IGUAZU	B3
2179-975X	ACTA LIMNOLOGICA BRASILIENSIA (ONLINE)	B1
0102-6712	ACTA LIMNOLÓGICA BRASILIENSIA	B1
0001-6357	ACTA ODONTOLOGICA SCANDINAVICA	B2
1146-609X	ACTA OECOLOGICA (MONTROUGE)	B1
1230-2821	ACTA PARASITOLOGICA	B1
0103-2100	ACTA PAULISTA DE ENFERMAGEM (UNIFESP. IMPRESSO)	B5
0137-5881	ACTA PHYSIOLOGIAE PLANTARUM	B1
2317-8957	ACTA SCIENTIAE ET TECHNICAE	B5
1679-9216	ACTA SCIENTIAE VETERINARIAE (ONLINE)	B2
1678-0345	ACTA SCIENTIAE VETERINARIAE (UFRGS. IMPRESSO)	B2
1679-9275	ACTA SCIENTIARUM. AGRONOMY (IMPRESSO)	A2
1807-8621	ACTA SCIENTIARUM. AGRONOMY (ONLINE)	A2
1806-2636	ACTA SCIENTIARUM. ANIMAL SCIENCES	B2
1807-8672	ACTA SCIENTIARUM. ANIMAL SCIENCES	B2
1679-9283	ACTA SCIENTIARUM. BIOLOGICAL SCIENCES	B1
1679-9283	ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (IMPRESSO)	B1
1807-863X	ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE)	B1
2178-5198	ACTA SCIENTIARUM. EDUCATION (PRINT)	B5
1679-9291	ACTA SCIENTIARUM. HEALTH SCIENCES (IMPRESSO)	B5
1807-8648	ACTA SCIENTIARUM. HEALTH SCIENCES (ONLINE)	B5
1806-2563	ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO)	B1
1807-8664	ACTA SCIENTIARUM. TECHNOLOGY (ONLINE)	B1
1982-422X	ACTA TECNOLÓGICA	B5
0327-9286	ACTA TOXICOLÓGICA ARGENTINA	B5
0001-706X	ACTA TROPICA	A2
1981-5484	ACTA VETERINARIA BRASILICA	B2
1981-5484	ACTA VETERINARIA BRASILICA (UFERSA)	B2
0001-7272	ACTA ZOOLOGICA (STOCKHOLM)	B1
2357-8068	ACTAPESCA	B5
2316-7548	ADMINISTRAÇÃO DE EMPRESAS EM REVISTA	B5
2175-5787	ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL	B5
0263-6174	ADSORPTION SCIENCE & TECHNOLOGY	B2
1616-301X	ADVANCED FUNCTIONAL MATERIALS (PRINT)	A1
1662-8985	ADVANCED MATERIALS RESEARCH (ONLINE)	C 
