ISSN	Titulo	Estrato	Classificação
0011-7641	A DEFESA NACIONAL	B5	
2319-037X	A REVISTA EM FOCO	C 	
2316-9451	ABAKÓS	B5	
2318-4965	ABCS HEALTH SCIENCES	B4	
1980-4814	ABCUSTOS (SÃO LEOPOLDO, RS)	B4	
1984-2090	ABRIL (NITERÓI)	B2	
2315-7739	ACADEMIA JOURNAL OF AGRICULTURAL RESEARCH	B5	
1069-6563	ACADEMIC EMERGENCY MEDICINE	B2	
2238-0701	AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA	B4	
2238-0701	AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA	B4	
0044-586X	ACAROLOGIA (LA VARENNE-SUR-SEINE)	B1	
2358-5587	ACENO - REVISTA DE ANTROPOLOGIA DO CENTRO-OESTE	B5	
1981-867X	ACERVO ON-LINE DE MÍDIA REGIONAL (UNITAU)	B5	
2319-0698	ACESSO LIVRE	B5	
1331-7768	ACS. AGRICULTURAE CONSPECTUS SCINTIFICUS (TISAK)	B1	
1944-8244	ACS APPLIED MATERIALS & INTERFACES (PRINT)	A1	
2168-0485	ACS SUSTAINABLE CHEMISTRY & ENGINEERING	A1	
0906-4710	ACTA AGRICULTURAE SCANDINAVICA. SECTION B, SOIL AND PLANT SCIENCE	B1	
0120-2812	ACTA AGRONOMICA	B1	
1809-4392	ACTA AMAZONICA	B1	
0044-5967	ACTA AMAZONICA	B1	
0044-5967	ACTA AMAZONICA (IMPRESSO)	B1	
1677-7298	ACTA AMBIENTAL CATARINENSE	B4	
2358-2375	ACTA APICOLA BRASILICA	B5	
0120-548X	ACTA BIOLOGICA COLOMBIANA	B1	
0301-2123	ACTA BIOLÓGICA PARANAENSE	B5	
2236-0867	ACTA BIOMEDICA BRASILIENSIA	B4	
1677-941X	ACTA BOTANICA BRASILICA	B1	
0102-3306	ACTA BOTANICA BRASÍLICA (IMPRESSO)	B1	
1508-1109	ACTA CHIROPTEROLOGICA	B1	
1678-2674	ACTA CIRÚRGICA BRASILEIRA (ONLINE)	B2	
0108-7673	ACTA CRYSTALLOGRAPHICA. SECTION A, FOUNDATIONS OF CRYSTALLOGRAPHY	B1	
1872-2032	ACTA ECOLOGICA SINICA (ONLINE)	C 	
0354-9410	ACTA ENTOMOLOGICA SERBICA	B5	
1437-9546	ACTA ETHOLOGICA (INTERNET)	B1	
0873-9749	ACTA ETHOLOGICA (PRINT)	B1	
2177-4307	ACTA GEOGRAFICA	B3	
1980-5772	ACTA GEOGRÁFICA	B3	
1980-5772	ACTA GEOGRÁFICA (UFRR)	B3	
0065-1281	ACTA HISTOCHEMICA (PRINT)	B1	
2406-6168	ACTA HORTICULTURAE	B1	
0137-1592	ACTA ICHTHYOLOGICA ET PISCATORIA	B1	
2316-4093	ACTA IGUAZU	B4	
2316-4093	ACTA IGUAZU	B4	
2316-4093	ACTA IGUAZU	B4	
0102-6712	ACTA LIMNOLÓGICA BRASILIENSIA	B1	
2179-975X	ACTA LIMNOLOGICA BRASILIENSIA (ONLINE)	B1	
1146-609X	ACTA OECOLOGICA (MONTROUGE)	A2	
0567-7920	ACTA PALAEONTOLOGICA POLONICA	A2	
1230-2821	ACTA PARASITOLOGICA	B1	
1982-0194	ACTA PAULISTA DE ENFERMAGEM (ONLINE)	B1	
0103-2100	ACTA PAULISTA DE ENFERMAGEM (UNIFESP. IMPRESSO)	B1	
1000-6818	ACTA PHYSICO-CHIMICA SINICA	B1	
0137-5881	ACTA PHYSIOLOGIAE PLANTARUM	A2	
1748-1708	ACTA PHYSIOLOGICA (PRINT)	B2	
0065-1583	ACTA PROTOZOOLOGICA (DRUK)	B1	
2317-8957	ACTA SCIENTIAE ET TECHNICAE	B5	
1517-4492	ACTA SCIENTIAE (ULBRA)	B4	
1679-9216	ACTA SCIENTIAE VETERINARIAE (ONLINE)	B1	
1678-0345	ACTA SCIENTIAE VETERINARIAE (UFRGS. IMPRESSO)	B1	
1679-9275	ACTA SCIENTIARUM. AGRONOMY (IMPRESSO)	B1	
1807-8621	ACTA SCIENTIARUM. AGRONOMY (ONLINE)	B1	
1807-8672	ACTA SCIENTIARUM. ANIMAL SCIENCES	B1	
1806-2636	ACTA SCIENTIARUM. ANIMAL SCIENCES	B1	
1679-9283	ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (IMPRESSO)	B1	
1807-863X	ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE)	B1	
1807-8648	ACTA SCIENTIARUM. HEALTH SCIENCES (ONLINE)	B1	
1807-8656	ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES	B1	
1415-6814	ACTA SCIENTIARUM (HUMAN AND SOCIAL SCIENCES)	B1	
1679-7361	ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES (IMPRESSO)	B1	
1806-2563	ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO)	B1	
1807-8664	ACTA SCIENTIARUM. TECHNOLOGY (ONLINE)	B1	
1982-422X	ACTA TECNOLÓGICA	B5	
0327-9286	ACTA TOXICOLÓGICA ARGENTINA	B1	
0001-706X	ACTA TROPICA	A2	
1981-5484	ACTA VETERINARIA BRASILICA	B1	
1981-5484	ACTA VETERINARIA BRASILICA	B1	
1981-5484	ACTA VETERINARIA BRASILICA (UFERSA)	B1	
0065-1737	ACTA ZOOLÓGICA MEXICANA	B1	
2357-8068	ACTAPESCA	B5	
0304-3584	ACTUALIDADES BIOLOGICAS	B1	
1983-442X	ACÚSTICA E VIBRAÇÕES	B5	
2175-5787	ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL	B3	
2177-5281	ADOLESCÊNCIA & SAÚDE	B2	
1679-9941	ADOLESCÊNCIA & SAÚDE (UERJ)	B2	
0929-5607	ADSORPTION (BOSTON)	A2	
1662-8985	ADVANCED MATERIALS RESEARCH (ONLINE)	C 	
2251-7308	ADVANCED PHARMACEUTICAL BULLETIN	A2	
2164-6627	ADVANCED SCIENCE, ENGINEERING AND MEDICINE	B1	
2070-0733	ADVANCES IN APPLIED MATHEMATICS ANS MECHANICS.	B1	
1687-7608	ADVANCES IN ARTIFICIAL NEURAL SYSTEMS	B5	
2162-2183	ADVANCES IN BIOLOGICAL CHEMISTRY.	C 	
2156-8456	ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY (IMPRESSO)	B4	
0001-8686	ADVANCES IN COLLOID AND INTERFACE SCIENCE (PRINT)	A1	
1019-7168	ADVANCES IN COMPUTATIONAL MATHEMATICS	A2	
1079-9389	ADVANCES IN DIFFERENTIAL EQUATIONS	B1	
1093-0191	ADVANCES IN ENVIRONMENTAL RESEARCH (PRINT)	B1	
2328-4854	ADVANCES IN ENZYME RESEARCH (ONLINE)	B5	
2164-2648	ADVANCES IN INFECTIOUS DISEASES	B5	
0065-2881	ADVANCES IN MARINE BIOLOGY	A1	
1687-9309	ADVANCES IN METEOROLOGY	B1	
1687-9317	ADVANCES IN METEOROLOGY	B1	
2165-3402	ADVANCES IN MICROBIOLOGY	B2	
2169-2688	ADVANCES IN REMOTE SENSING	B5	
0273-1177	ADVANCES IN SPACE RESEARCH	B1	
0309-1708	ADVANCES IN WATER RESOURCES	A1	
2356-6922	ADVANCES IN ZOOLOGY	C 	
1984-5634	AEDOS: REVISTA DO CORPO DISCENTE DO PROGRAMA DE PÓS-GRADUAÇÃO EM HISTÓRIA DA UFRGS (ONLINE)	B4	
0278-6826	AEROSOL SCIENCE AND TECHNOLOGY (PRINT)	A2	
1991-637X	AFRICAN JOURNAL OF AGRICULTURAL RESEARCH	B1	
1996-0778	AFRICAN JOURNAL OF BIOCHEMISTRY RESEARCH	C 	
1684-5315	AFRICAN JOURNAL OF BIOTECHNOLOGY	B1	
1993-8233	AFRICAN JOURNAL OF BUSINESS MANAGEMENT	B3	
1993-8233	AFRICAN JOURNAL OF BUSINESS MANAGEMENT	B3	
0141-6707	AFRICAN JOURNAL OF ECOLOGY	B1	
1996-0794	AFRICAN JOURNAL OF FOOD SCIENCE	B5	
1996-0808	AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH	B1	
1996-0816	AFRICAN JOURNAL OF PHARMACY AND PHARMACOLOGY	B1	
0161-9152	AGE	A2	
1808-1150	AGRÁRIA (SÃO PAULO. ONLINE)	B3	
2357-9951	AGRARIAN ACADEMY	B5	
1984-252X	AGRARIAN (DOURADOS. IMPRESSO)	B4	
1984-2538	AGRARIAN (DOURADOS. ONLINE)	B4	
1414-0810	AGRICULTURA FAMILIAR (UFPA)	C 	
1459-6067	AGRICULTURAL AND FOOD SCIENCE (PRINT)	B1	
0168-1923	AGRICULTURAL AND FOREST METEOROLOGY (PRINT)	A1	
2156-8561	AGRICULTURAL SCIENCES	B5	
2156-8553	AGRICULTURAL SCIENCES	B5	
0308-521X	AGRICULTURAL SYSTEMS	A1	
0378-3774	AGRICULTURAL WATER MANAGEMENT	A1	
0378-3774	AGRICULTURAL WATER MANAGEMENT (PRINT)	A1	
2210-7843	AGRICULTURE AND AGRICULTURAL SCIENCE PROCEDIA	C 	
0167-8809	AGRICULTURE, ECOSYSTEMS & ENVIRONMENT	A1	
0167-8809	AGRICULTURE, ECOSYSTEMS & ENVIRONMENT (PRINT)	A1	
1316-0354	AGROALIMENTARIA (CARACAS)	B1	
0100-4298	AGROANALYSIS (FGV)	B5	
1405-3195	AGROCIENCIA (MONTECILLO)	B1	
1510-0839	AGROCIENCIA (MONTEVIDEO)	B1	
1519-1060	AGROECOLOGIA E DESENVOLVIMENTO RURAL SUSTENTÁVEL	B4	
1990-2012	AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS (PRINT)	B1	
2525-6920	AGROFORESTALIS NEWS	B4	
1572-9680	AGROFORESTRY SYSTEMS	B1	
0167-4366	AGROFORESTRY SYSTEMS (PRINT)	B1	
1982-8470	AGRO@MBIENTE ON-LINE	B3	
1774-0746	AGRONOMY FOR SUSTAINABLE DEVELOPMENT	A1	
0002-1962	AGRONOMY JOURNAL (PRINT)	A2	
0103-0779	AGROPECUÁRIA CATARINENSE	B5	
1808-6845	AGROPECUÁRIA CIENTÍFICA NO SEMI-ÁRIDO	B5	
1808-6845	AGROPECUÁRIA CIENTÍFICA NO SEMI-ÁRIDO	B5	
1808-6845	AGROPECUÁRIA CIENTÍFICA NO SEMI-ÁRIDO	B5	
0100-7467	AGROPECUÁRIA TÉCNICA (UFPB)	B5	
0103-3816	AGROTRÓPICA (ITABUNA)	B4	
2340-8472	AGUA Y TERRITORIO	B4	
2179-9784	ÁGUAS SUBTERRÂNEAS	B2	
0101-7004	ÁGUAS SUBTERRÂNEAS (SÃO PAULO)	B2	
0001-1541	AICHE JOURNAL	A1	
2372-0352	AIMS ENVIRONMENTAL SCIENCE	C 	
2471-2132	AIMS GEOSCIENCES	C 	
1551-7616	AIP CONFERENCE PROCEEDINGS (ONLINE)	B5	
1873-9318	AIR QUALITY, ATMOSPHERE AND HEALTH	A2	
1178-6221	AIR, SOIL AND WATER RESEARCH	B1	
1133-9837	ALAMBIQUE (BARCELONA)	B2	
1983-9472	ALBUQUERQUE: REVISTA DE HISTÓRIA	B5	
0741-8329	ALCOHOL (FAYETTEVILLE, N.Y.)	B2	
1983-2087	ALETHÉIA (GOIÂNIA)	B4	
1982-5153	ALEXANDRIA (UFSC)	B5	
2211-9264	ALGAL RESEARCH	A1	
1748-7188	ALGORITHMS FOR MOLECULAR BIOLOGY	B2	
0304-9787	ALIGARH BULLETIN OF MATHEMATICS	B4	
0971-4693	ALLELOPATHY JOURNAL	B1	
0301-0546	ALLERGOLOGIA ET IMMUNOPATHOLOGIA (ED. IMPRESA)	B1	
2359-6651	ALMANAQUE MULTIDISCIPLINAR DE PESQUISA	B5	
2036-5195	ALMATOURISM - JOURNAL OF TOURISM, CULTURE AND TERRITORIAL DEVELOPMENT	B4	
0893-0341	ALZHEIMER DISEASE AND ASSOCIATED DISORDERS	B2	
2177-8760	AMAZONIAN JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL SCIENCES / REVISTA DE CIÊNCIAS AGRÁRIAS	B5	
1984-6215	AMAZÔNICA: REVISTA DE ANTROPOLOGIA (IMPRESSO)	B3	
2176-0675	AMAZÔNICA: REVISTA DE ANTROPOLOGIA (ONLINE)	B3	
2175-9405	AMBIENCIA	B4	
1808-0251	AMBIÊNCIA	B4	
2175-9405	AMBIÊNCIA (ONLINE)	B4	
1887-2417	AMBIENTALMENTE SUSTENTABLE	B4	
2386-4362	AMBIENTALMENTE SUSTENTABLE - REVISTA CIENTÍFICA GALEGO-LUSÓFONA DE EDUCACIÓN AMBIENTAL	B4	
1413-8638	AMBIENTE & EDUCAÇÃO	B4	
2238-5533	AMBIENTE & EDUCAÇÃO: REVISTA DE EDUCAÇÃO AMBIENTAL	B4	
1809-4422	AMBIENTE & SOCIEDADE (ONLINE)	A2	
1678-8621	AMBIENTE CONSTRUÍDO (ONLINE)	B1	
1414-753X	AMBIENTE E SOCIEDADE (CAMPINAS)	A2	
0044-7447	AMBIO (OSLO)	A1	
1518-0360	ÂMBITO JURÍDICO	B4	
2318-3888	AMBIVALÊNCIAS	B4	
1851-8044	AMEGHINIANA	B2	
0002-7014	AMEGHINIANA	B2	
1405-2253	AMERICA LATINA EN LA HISTORÍA ECONÓMICA	B1	
1130-2887	AMÉRICA LATINA HOY	B1	
0002-7642	AMERICAN BEHAVIORAL SCIENTIST (BEVERLY HILLS)	A2	
2249-0205	AMERICAN CHEMICAL SCIENCE JOURNAL	B5	
2162-142X	AMERICAN INTERNATIONAL JOURNAL OF CONTEMPORARY RESEARCH	B4	
1557-4989	AMERICAN JOURNAL OF AGRICULTURAL AND BIOLOGICAL SCIENCES	C 	
2156-8251	AMERICAN JOURNAL OF ANALYTICAL CHEMISTRY	B5	
0002-9122	AMERICAN JOURNAL OF BOTANY	A2	
2167-9495	AMERICAN JOURNAL OF CLIMATE CHANGE	B5	
2349-7238	AMERICAN JOURNAL OF COMPUTER SCIENCE AND ENGINEERING SURVEY	C 	
2327-6150	AMERICAN JOURNAL OF EDUCATIONAL RESEARCH	B3	
1941-7020	AMERICAN JOURNAL OF ENGINEERING AND APPLIED SCIENCES	B1	
2166-4633	AMERICAN JOURNAL OF ENVIRONMENTAL ENGINEERING	B5	
2166-4633	AMERICAN JOURNAL OF ENVIRONMENTAL ENGINEERING	B5	
1553-345X	AMERICAN JOURNAL OF ENVIRONMENTAL SCIENCES	C 	
2333-1275	AMERICAN JOURNAL OF EPIDEMIOLOGY AND INFECTIOUS DISEASE	C 	
2231-0606	AMERICAN JOURNAL OF EXPERIMENTAL AGRICULTURE	C 	
1557-458X	AMERICAN JOURNAL OF FOOD TECHNOLOGY	C 	
2317-126X	AMERICAN JOURNAL OF HYDROPOWER, WATER AND ENVIRONMENT SYSTEMS	C 	
0196-6553	AMERICAN JOURNAL OF INFECTION CONTROL	A2	
2160-8849	AMERICAN JOURNAL OF OPERATIONS RESEARCH	B5	
2158-2750	AMERICAN JOURNAL OF PLANT SCIENCES	B5	
2158-2750	AMERICAN JOURNAL OF PLANT SCIENCES	B5	
0275-2565	AMERICAN JOURNAL OF PRIMATOLOGY	A2	
0275-2565	AMERICAN JOURNAL OF PRIMATOLOGY (PRINT)	A2	
1538-2990	AMERICAN JOURNAL OF THE MEDICAL SCIENCES	B2	
2313-4410	AMERICAN SCIENTIFIC RESEARCH JOURNAL FOR ENGINEERING, TECHNOLOGY, AND SCIENCES	B5	
2151-0032	AMERICAN SOCIETY OF AGRICULTURAL AND BIOLOGICAL ENGINEERS. TRANSACTIONS	B1	
1818-6769	AMERICAN-EURASIAN JOURNAL OF AGRICULTURAL & ENVIRONMENTAL SCIENCES	B5	
0173-5373	AMPHIBIA-REPTILIA	B1	
2179-8400	ANAIS ¿ CONGRESSO BRASILEIRO DE GESTÃO AMBIENTAL	B5	
1806-4841	ANAIS BRASILEIROS DE DERMATOLOGIA	B2	
0365-0596	ANAIS BRASILEIROS DE DERMATOLOGIA	B2	
1806-4841	ANAIS BRASILEIROS DE DERMATOLOGIA (ONLINE)	B2	
2238-2925	ANAIS BRASILEIROS DE ESTUDOS TURÍSTICOS	B4	
1677-3101	ANAIS DA ... JORNADA DE ESTUDOS LINGUÍSTICOS E LITERÁRIOS	C 	
0001-3765	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS	B1	
0001-3765	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO)	B1	
1678-2690	ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE)	B1	
1980-0258	ANAIS DA ACADEMIA PERNAMBUCANA DE CIÊNCIA AGRONÔMICA	B5	
2448-2811	ANAIS DA ACADEMIA PERNAMBUCANA DE CIÊNCIA AGRONÔMICA	B5	
2176-1396	ANAIS DO ... CONGRESSO NACIONAL DE EDUCAÇÃO	C 	
0303-7762	ANAIS DO INSTITUTO DE HIGIENE E MEDICINA TROPICAL	B1	
2318-2148	ANAIS USO PÚBLICO EM UNIDADES DE CONSERVAÇÃO	B5	
0003-2654	ANALYST (LONDON. 1877. PRINT)	A1	
1667-3055	ANALYTICA	B5	
1677-3055	ANALYTICA (SÃO PAULO)	B5	
1618-2642	ANALYTICAL AND BIOANALYTICAL CHEMISTRY (PRINT)	A1	
0003-2700	ANALYTICAL CHEMISTRY (WASHINGTON)	A1	
