ISSN	Titulo	Estrato	Classificação
2376-0605	AACE CLINICAL CASE REPORTS	B1	
1559-7776	AACN ADVANCED CRITICAL CARE	A3	
1530-9932	AAPS PHARMSCITECH	A3	
0102-6720	ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA	A4	
2357-8114	ABCS HEALTH SCIENCES	B1	
2318-4965	ABCS HEALTH SCIENCES	B1	
1809-8630	ABRAMET. ASSOCIAÇÃO BRASILEIRA DE MEDICINA DE TRÁFEGO	C	
2315-7712	ACADEMIA JOURNAL OF SCIENTIFIC RESEARCH	B3	
1806-9495	ACADEMUS: REVISTA CIENTÍFICA DA SAÚDE	C	
0001-4575	ACCIDENT ANALYSIS AND PREVENTION	A1	
2358-5587	ACENO - REVISTA DE ANTROPOLOGIA DO CENTRO-OESTE	A2	
0717-5906	ACTA BIOETHICA	B3	
1726-569X	ACTA BIOETHICA (EN LÍNEA)	B3	
1742-7061	ACTA BIOMATERIALIA	A1	
2236-0867	ACTA BIOMEDICA BRASILIENSIA	B4	
0102-8650	ACTA CIRÚRGICA BRASILEIRA (IMPRESSO)	A4	
1678-2674	ACTA CIRÚRGICA BRASILEIRA (ONLINE)	A4	
0940-5429	ACTA DIABETOLOGICA (PRINT)	A2	
0104-7795	ACTA FISIATRICA	B2	
2317-0190	ACTA FISIÁTRICA	B2	
0065-1281	ACTA HISTOCHEMICA (PRINT)	A4	
0001-6314	ACTA NEUROLOGICA SCANDINAVICA	A3	
1601-5215	ACTA NEUROPSYCHIATRICA	A2	
0001-6349	ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA	A2	
0326-4815	ACTA ODONTOLÓGICA LATINOAMERICANA	B3	
1146-609X	ACTA OECOLOGICA (MONTROUGE)	A3	
1809-4406	ACTA ORTOPÉDICA BRASILEIRA	B1	
1413-7852	ACTA ORTOPÉDICA BRASILEIRA (IMPRESSO)	B1	
1982-0194	ACTA PAUL DE ENFERM	A4	
0103-2100	ACTA PAULISTA DE ENFERMAGEM	A4	
2183-5985	ACTA PORTUGUESA DE NUTRIÇÃO	B2	
