ISSN	Titulo	Estrato	Classificação
2596-0873	ABEÁFRICA	B4	
1676-3769	ACADÊMICA (ACADEMIA DE CIÊNCIAS SOCIAIS DO CEARÁ)	B4	
2318-1494	ACADÊMICO MUNDO	B4	
2238-0701	AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA	B2	
0001-4842	ACCOUNTS OF CHEMICAL RESEARCH	A1	
2358-5587	ACENO - REVISTA DE ANTROPOLOGIA DO CENTRO-OESTE	A2	
2319-0698	ACESSO LIVRE	B2	
1492-9732	ACME: AN INTERNATIONAL E-JOURNAL FOR CRITICAL GEOGRAPHIES	A2	
1809-4392	ACTA AMAZONICA	A3	
2358-3363	ACTA BIOLÓGICA CATARINENSE	B4	
1677-941X	ACTA BOTANICA BRASILICA	A4	
2526-4338	ACTA BRASILIENSIS	C	
0583-6050	ACTA CARSOLOGICA	A4	
2336-4351	ACTA GEODYNAMICA ET GEOMATERIALIA	B2	
2177-4307	ACTA GEOGRAFICA	A2	
1980-5772	ACTA GEOGRÁFICA (UFRR)	A2	
2316-4093	ACTA IGUAZU	B4	
2179-975X	ACTA LIMNOLOGICA BRASILIENSIA (ONLINE)	B2	
1807-863X	ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE)	B2	
2178-5201	ACTA SCIENTIARUM. EDUCATION (ONLINE)	A2	
1807-8656	ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES	A2	
0001-706X	ACTA TROPICA	A2	
0001-7132	ACTA UNIVERSITATIS CAROLINAE. GEOLOGICA	B4	
2525-8923	ACTIO: DOCÊNCIA EM CIÊNCIAS	A3	
0929-5607	ADSORPTION (BOSTON)	A2	
0256-1530	ADVANCES IN ATMOSPHERIC SCIENCES	A4	
1687-8108	ADVANCES IN CONDENSED MATTER PHYSICS (PRINT)	B2	
1674-9928	ADVANCES IN POLAR SCIENCE	B4	
0273-1177	ADVANCES IN SPACE RESEARCH	A2	
1680-8584	AEROSOL AND AIR QUALITY RESEARCH	A2	
2594-732X	AFLUENTE	B1	
1991-637X	AFRICAN JOURNAL OF AGRICULTURAL RESEARCH	B3	
2253-9042	AGALI JOURNAL	B2	
2318-8499	AGENDA POLÍTICA	A3	
1981-9862	AGENDA SOCIAL (UENF)	B3	
1982-6737	ÁGORA (UNISC. ONLINE)	A4	
2277-9760	AGRARIAN SOUTH: JOURNAL OF POLITICAL ECONOMY	A4	
1414-0810	AGRICULTURA FAMILIAR (UFPA)	B2	
2083-1587	AGRICULTURAL ENGINEERING	A4	
2156-8553	AGRICULTURAL SCIENCES	B3	
2077-0472	AGRICULTURE	A3	
1800-9492	AGRICULTURE AND FORESTRY	B4	
0167-8809	AGRICULTURE, ECOSYSTEMS & ENVIRONMENT (PRINT)	A1	
0100-4298	AGROANALYSIS (FGV)	B4	
2168-3565	AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS (PRINT)	A2	
0167-4366	AGROFORESTRY SYSTEMS (PRINT)	A2	
1808-6845	AGROPECUÁRIA CIENTÍFICA NO SEMI-ÁRIDO	B4	
2525-8990	AGROTEC - REVISTA AGROPECUARIA TECNICA (ONLINE)	B4	
2340-7743	AGUA Y TERRITORIO	A4	
2340-8472	AGUA Y TERRITORIO	A4	
2179-9784	ÁGUAS SUBTERRÂNEAS	B3	
0101-7004	ÁGUAS SUBTERRÂNEAS (SÃO PAULO)	B3	
1873-9318	AIR QUALITY, ATMOSPHERE AND HEALTH	A2	
1983-9472	ALBUQUERQUE: REVISTA DE HISTÓRIA	B1	
0311-5518	ALCHERINGA (SYDNEY)	A4	
1982-5153	ALEXANDRIA (UFSC)	A2	
2236-4633	ALMANACK	A1	
1981-5433	ALMANAQUE UNIGRANRIO DE PESQUISA	C	
2036-5195	ALMATOURISM - JOURNAL OF TOURISM, CULTURE AND TERRITORIAL DEVELOPMENT	A4	
2313-9730	ALTER-NATIVA	B2	
1390-1915	ALTERNATIVAS (GUAYAQUIL)	B1	
2168-8451	ALTER/NATIVAS. LATIN AMERICAN CULTURAL STUDIES JOURNAL	B2	
2318-4817	ALTUS CIÊNCIAS	B4	
2525-8281	AMADEUS INTERNATIONAL MULTIDISCIPLINARY JOURNAL	C	
2177-8760	AMAZONIAN JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL SCIENCES / REVISTA DE CIÊNCIAS AGRÁRIAS	B4	
2176-0675	AMAZÔNICA: REVISTA DE ANTROPOLOGIA (ONLINE)	A2	
1808-0251	AMBIÊNCIA	B4	
2175-9405	AMBIÊNCIA (ONLINE)	B4	
2346-9269	AMBIENS - REVISTA IBEROAMERICANA UNIVERSITARIA EN AMBIENTE, SOCIEDAD Y SUSTENTABILIDAD	B3	
2238-5533	AMBIENTE & EDUCAÇÃO: REVISTA DE EDUCAÇÃO AMBIENTAL	A3	
1809-4422	AMBIENTE & SOCIEDADE (ONLINE)	A2	
1415-8876	AMBIENTE CONSTRUÍDO	A3	
1678-8621	AMBIENTE CONSTRUÍDO (ONLINE)	A3	
1414-753X	AMBIENTE E SOCIEDADE	A2	
2674-6816	AMBIENTES	A4	
2318-3888	AMBIVALÊNCIAS	B3	
0002-7014	AMEGHINIANA	A4	
2007-3496	AMÉRICA LATINA EN LA HISTORIA ECONÓMICA	A4	
2167-9495	AMERICAN JOURNAL OF CLIMATE CHANGE	B2	
