ISSN	Titulo	Estrato	Classificação
1530-9932	AAPS PHARMSCITECH	A3	
2318-8219	ABC: IMAGEM CARDIOVASCULAR	C	
0102-6720	ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA	A4	
2357-8114	ABCS HEALTH SCIENCES	B1	
2366-004X	ABDOMINAL RADIOLOGY	A4	
2366-0058	ABDOMINAL RADIOLOGY (ONLINE)	A4	
2315-7712	ACADEMIA JOURNAL OF SCIENTIFIC RESEARCH	B3	
1069-6563	ACADEMIC EMERGENCY MEDICINE	A1	
2474-7521	ACADEMIC JOURNAL OF PEDIATRICS E NEONATOLOGY	C	
1042-9670	ACADEMIC PSYCHIATRY	A2	
1076-6332	ACADEMIC RADIOLOGY	A3	
1806-9495	ACADEMUS: REVISTA CIENTÍFICA DA SAÚDE	C	
2516-8290	ACCESS MICROBIOLOGY	B4	
0001-4575	ACCIDENT ANALYSIS AND PREVENTION	A1	
0949-1775	ACCREDITATION AND QUALITY ASSURANCE	B2	
2326-3253	ACG CASE REPORTS JOURNAL	A4	
2574-0970	ACS  APPLIED NANO MATERIALS	A4	
1944-8244	ACS APPLIED MATERIALS & INTERFACES (PRINT)	A1	
2373-9878	ACS BIOMATERIALS SCIENCE & ENGINNERING	A2	
2374-7951	ACS CENTRAL SCIENCE (ONLINE)	A1	
1948-7193	ACS CHEMICAL NEUROSCIENCE	A2	
2373-8227	ACS INFECTIOUS DISEASES	A1	
2470-1343	ACS OMEGA	A4	
2379-3694	ACS SENSORS	A1	
2168-0485	ACS SUSTAINABLE CHEMISTRY & ENGINEERING	A1	
1809-4392	ACTA AMAZONICA	A3	
0044-5967	ACTA AMAZONICA (IMPRESSO)	A3	
1726-569X	ACTA BIOETHICA (EN LÍNEA)	B3	
2596-0016	ACTA BIOLOGICA BRASILIENSIA	B2	
0301-2123	ACTA BIOLÓGICA PARANAENSE	C	
1742-7061	ACTA BIOMATERIALIA	A1	
2236-0867	ACTA BIOMEDICA BRASILIENSIA	B4	
0392-4203	ACTA BIO-MEDICA DELL&APOS;ATENEO PARMENSE	A3	
2526-432X	ACTA BRASILIENSIS	C	
0001-5385	ACTA CARDIOLOGICA (IMPRIMÉ)	B2	
2083-5736	ACTA CHROMATOGRAPHICA	B1	
0102-8650	ACTA CIRÚRGICA BRASILEIRA (IMPRESSO)	A4	
1678-2674	ACTA CIRÚRGICA BRASILEIRA (ONLINE)	A4	
1909-9711	ACTA COLOMBIANA DE PSICOLOGIA	A1	
2053-2296	ACTA CRYSTALLOGRAPHICA SECTION C: STRUCTURAL CHEMISTRY	B1	
2053-230X	ACTA CRYSTALLOGRAPHICA. SECTION F: STRUCTURAL BIOLOGY COMMUNICATIONS	B1	
1938-2650	ACTA CYTOLOGICA	B1	
0001-5547	ACTA CYTOLOGICA	B1	
1330-027X	ACTA DERMATOVENEROLOGICA CROATICA	B2	
0940-5429	ACTA DIABETOLOGICA (PRINT)	A2	
0104-7795	ACTA FISIATRICA	B2	
2317-0190	ACTA FISIÁTRICA	B2	
0300-9033	ACTA GASTROENTEROLÓGICA LATINOAMERICANA	B3	
0001-5792	ACTA HAEMATOLOGICA	B3	
0065-1281	ACTA HISTOCHEMICA (PRINT)	A4	
0001-6012	ACTA MEDICA COSTARRICENSE	C	
0044-6025	ACTA MEDICA IRANICA	A4	
1335-8421	ACTA MEDICA MARTINIANA	C	
0103-5037	ACTA MÉDICA (PORTO ALEGRE)	C	
1646-0758	ACTA MÉDICA PORTUGUESA	B1	
1128-2460	ACTA MYOLOGICA	B2	
0065-1400	ACTA NEUROBIOLOGIAE EXPERIMENTALIS (DRUK)	B2	
0001-6268	ACTA NEUROCHIRURGICA	A4	
0300-9009	ACTA NEUROLOGICA BELGICA	B1	
0001-6314	ACTA NEUROLOGICA SCANDINAVICA	A3	
0001-6322	ACTA NEUROPATHOLOGICA	A1	
2051-5960	ACTA NEUROPATHOLOGICA COMMUNICATIONS	A1	
1601-5215	ACTA NEUROPSYCHIATRICA	A2	
0001-6349	ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA	A2	
1502-3850	ACTA ODONTOLOGICA SCANDINAVICA	A2	
0001-6357	ACTA ODONTOLOGICA SCANDINAVICA (TRYKT UTG.)	A2	
0001-6365	ACTA ODONTOLÓGICA VENEZOLANA	B3	
1509-409X	ACTA OF BIOENGINEERING AND BIOMECHANICS	B2	
0284-186X	ACTA ONCOLOGICA (STOCKHOLM)	A3	
1755-375X	ACTA OPHTHALMOLOGICA	A2	
1809-4406	ACTA ORTOPÉDICA BRASILEIRA	B1	
1413-7852	ACTA ORTOPÉDICA BRASILEIRA (IMPRESSO)	B1	
0001-6489	ACTA OTO-LARYNGOLOGICA	A4	
0392-100X	ACTA OTORHINOLARYNGOLOGICA ITALICA	A4	
0803-5253	ACTA PAEDIATRICA (OSLO)	A2	
1230-2821	ACTA PARASITOLOGICA	B2	
