ID,TITLE,TYPE,YEAR,DOI,LANG,BOOK,PUBLISHER,ISSN,AUTHOR,ORDER,ORDER_OK,ID_CNPQ,FULL_NAME,LAST_NAME,CITADO,CITY,STATE,RESUME,UPDATE,ADDRESS_ENTERP,ORCID,ADDRESS_ENTERP_CODE,ID_X,TEXT_CLEAN
5401789813032087,Biomassa de pastagens para produção de energia,Capítulo de livro publicado,2011,,Português,A empresa pecuária baseada em pastagens,FEALQ,0000021750823,"['Thiago Libório Romanelli', 'Guilerme Silva Raucci']","['1', '2']",1,"['', '']",Thiago Libório Romanelli,Romanelli,"ROMANELLI, T. L.;Romanelli, Thiago L.;Romanelli, Thiago Libório;ROMANELLI, THIAGO;Libório Romanelli, Thiago",Piracicaba,SP,"Professor Titular do Departamento de Engenharia de Biossistemas (LEB), Esalq/USP. Atua nos temas: Fluxos de Materiais e de Energia em Sistemas de Produção, Sustentabilidade, Análises de Ciclo de Vida e Viabilidade econômica de adoção de tecnologia. É Engenheiro Agrônomo pela Universidade de São Paulo (2000), mestre em Máquinas Agrícolas pela Universidade de São Paulo (2003) e doutor em Recursos Florestais pela Universidade de São Paulo (2007), tendo sido Research Associate do Center for Environmental Policy da University of Florida (2005-2006),  Professor Doutor (2008-2013) e Livre Docente em Mecânica e Máquinas Motoras pela Universidade de São Paulo (2013) . Fulbright Scholar - Cátedra de Ciências Agrárias na University of Nebraska/Lincoln (2017). Foi Chefe e Vice-Chefe do LEB, Presidente da Comissão de Relações Internacionais, Coodenador de Curso de Graduação, Vice-Diretor do Centro de Informática &quot;Luiz de Queiroz&quot; e atualmente é Presidente da Comissão de Graduação e Presidente da Comissão de Administração, Orçamento e Patrimônio da Esalq/USP.",21-11-2023,Universidade de São Paulo,https://orcid.org/0000-0001-5407-9031,006700000002,11,biomassa pastagens produção energia
5401789813032087,Avaliação da sustentabilidade energética de sistemas agrícolas: abordagens teóricas e considerações práticas,Capítulo de livro publicado,2021,,Português,Sustentabilidade no Agronegócio,Manole,9786555764512,['Thiago Libório Romanelli'],['1'],1,[''],Thiago Libório Romanelli,Romanelli,"ROMANELLI, T. L.;Romanelli, Thiago L.;Romanelli, Thiago Libório;ROMANELLI, THIAGO;Libório Romanelli, Thiago",Piracicaba,SP,"Professor Titular do Departamento de Engenharia de Biossistemas (LEB), Esalq/USP. Atua nos temas: Fluxos de Materiais e de Energia em Sistemas de Produção, Sustentabilidade, Análises de Ciclo de Vida e Viabilidade econômica de adoção de tecnologia. É Engenheiro Agrônomo pela Universidade de São Paulo (2000), mestre em Máquinas Agrícolas pela Universidade de São Paulo (2003) e doutor em Recursos Florestais pela Universidade de São Paulo (2007), tendo sido Research Associate do Center for Environmental Policy da University of Florida (2005-2006),  Professor Doutor (2008-2013) e Livre Docente em Mecânica e Máquinas Motoras pela Universidade de São Paulo (2013) . Fulbright Scholar - Cátedra de Ciências Agrárias na University of Nebraska/Lincoln (2017). Foi Chefe e Vice-Chefe do LEB, Presidente da Comissão de Relações Internacionais, Coodenador de Curso de Graduação, Vice-Diretor do Centro de Informática &quot;Luiz de Queiroz&quot; e atualmente é Presidente da Comissão de Graduação e Presidente da Comissão de Administração, Orçamento e Patrimônio da Esalq/USP.",21-11-2023,Universidade de São Paulo,https://orcid.org/0000-0001-5407-9031,006700000002,16,avaliação sustentabilidade energética sistemas agrícolas abordagens teóricas considerações práticas
5401789813032087,Manejo de palha em cana-de-açúcar,Capítulo de livro publicado,2015,,Português,Processos agrícolas e mecanização da cana-de-açúcar,SBEA,9788564681064,"['Luiz Carlos Dalben', 'Thiago Libório Romanelli']","['1', '2']",2,"['', '']",Thiago Libório Romanelli,Romanelli,"ROMANELLI, T. L.;Romanelli, Thiago L.;Romanelli, Thiago Libório;ROMANELLI, THIAGO;Libório Romanelli, Thiago",Piracicaba,SP,"Professor Titular do Departamento de Engenharia de Biossistemas (LEB), Esalq/USP. Atua nos temas: Fluxos de Materiais e de Energia em Sistemas de Produção, Sustentabilidade, Análises de Ciclo de Vida e Viabilidade econômica de adoção de tecnologia. É Engenheiro Agrônomo pela Universidade de São Paulo (2000), mestre em Máquinas Agrícolas pela Universidade de São Paulo (2003) e doutor em Recursos Florestais pela Universidade de São Paulo (2007), tendo sido Research Associate do Center for Environmental Policy da University of Florida (2005-2006),  Professor Doutor (2008-2013) e Livre Docente em Mecânica e Máquinas Motoras pela Universidade de São Paulo (2013) . Fulbright Scholar - Cátedra de Ciências Agrárias na University of Nebraska/Lincoln (2017). Foi Chefe e Vice-Chefe do LEB, Presidente da Comissão de Relações Internacionais, Coodenador de Curso de Graduação, Vice-Diretor do Centro de Informática &quot;Luiz de Queiroz&quot; e atualmente é Presidente da Comissão de Graduação e Presidente da Comissão de Administração, Orçamento e Patrimônio da Esalq/USP.",21-11-2023,Universidade de São Paulo,https://orcid.org/0000-0001-5407-9031,006700000002,12,manejo palha canadeaçúcar
0662049068666562,Pegada Hídrica: um estudo bibliométrico das produções científicas na base de dados Redalyc,Capítulo de livro publicado,2018,,Português,Sustentabilidade e Responsabilidade Social em Foco,: Poisson,9788593729867,"['André Socoloski', 'Cleci Grzebieluckas', 'Josiane S Costa do Santos', 'Ana Paula de Andrade Silva', 'Magno Alves Ribeiro']","['1', '2', '3', '4', '5']",2,"['', '', '', '', '']",Cleci Grzebieluckas,Grzebieluckas,"GRZEBIELUCKAS, Cleci;Grzebieluckas, Cleci",Descanso,SC,"Bacharel em Ciências Contábeis pela Universidade do Estado de Mato Grosso -UNEMAT (2006),Mestre em Administração de Empresas pela Universidade do Vale do Itajaí - UNIVALI (2007), Doutora em Engenharia de Produção pela Universidade Federal de Santa Catarina - UFSC (2010). Professora adjunta na Universidade do Estado de Mato Grosso - UNEMAT Campus de Tangará da Serra MT, ministra  aulas no  Programa de Mestrado em Ambiente e Sistemas de Produção Agrícola - PPGASP e nos cursos de Ciências Contábeis e Administração em Agronegócio. Possui experiência em contabilidade e administração e tem como temas de pesquisas: frutos nativos do cerrado, valoração ambiental, custos ambientais e análise econômica.  https://orcid.org/0000-0001-9786-9607.",23-02-2022,Universidade do Estado de Mato Grosso,https://orcid.org/0000-0001-9786-9607,841500000008,18,pegada hídrica estudo bibliométrico produções científicas base dados redalyc
0662049068666562,ANÁLISE DE VIABILIDADE ECONÔMICA DA IMPLANTAÇÃO DE UM BIODIGESTOR EM UM FRIGORÍFICO BOVINO,Capítulo de livro publicado,2020,,Português,Agropecuária Meio Ambiente e Desenvolvimento Sustentável,Editora Conhecimento Livre,9786580226344,"['Vitor Antenor Sales Medeiros', 'Cleci Grzebieluckas', 'Josiane Silva Costa dos Santos', 'Magno Alves Ribeiro', 'Sandro Benedito Sguarezi']","['1', '2', '3', '4', '5']",2,"['', '', '', '', '']",Cleci Grzebieluckas,Grzebieluckas,"GRZEBIELUCKAS, Cleci;Grzebieluckas, Cleci",Descanso,SC,"Bacharel em Ciências Contábeis pela Universidade do Estado de Mato Grosso -UNEMAT (2006),Mestre em Administração de Empresas pela Universidade do Vale do Itajaí - UNIVALI (2007), Doutora em Engenharia de Produção pela Universidade Federal de Santa Catarina - UFSC (2010). Professora adjunta na Universidade do Estado de Mato Grosso - UNEMAT Campus de Tangará da Serra MT, ministra  aulas no  Programa de Mestrado em Ambiente e Sistemas de Produção Agrícola - PPGASP e nos cursos de Ciências Contábeis e Administração em Agronegócio. Possui experiência em contabilidade e administração e tem como temas de pesquisas: frutos nativos do cerrado, valoração ambiental, custos ambientais e análise econômica.  https://orcid.org/0000-0001-9786-9607.",23-02-2022,Universidade do Estado de Mato Grosso,https://orcid.org/0000-0001-9786-9607,841500000008,19,análise viabilidade econômica implantação biodigestor frigorífico bovino
0662049068666562,PROCESSO DE PRODUÇÃO DO ABACAXI: UM ESTUDO EM TANGARÁ DA SERRA-MT,Capítulo de livro publicado,2020,,Português,Discussões interdisciplinares no campo da ciências sociais aplicadas,Atena Editora,9788572479462,"['RITA CAMILA KESERLE DE OLIVEIRA', 'Willian Krause', 'Cleci Grzebieluckas', 'ADELICE MINETTO SZNITOWSKI']","['1', '2', '3', '4']",3,"['', '', '', '']",Cleci Grzebieluckas,Grzebieluckas,"GRZEBIELUCKAS, Cleci;Grzebieluckas, Cleci",Descanso,SC,"Bacharel em Ciências Contábeis pela Universidade do Estado de Mato Grosso -UNEMAT (2006),Mestre em Administração de Empresas pela Universidade do Vale do Itajaí - UNIVALI (2007), Doutora em Engenharia de Produção pela Universidade Federal de Santa Catarina - UFSC (2010). Professora adjunta na Universidade do Estado de Mato Grosso - UNEMAT Campus de Tangará da Serra MT, ministra  aulas no  Programa de Mestrado em Ambiente e Sistemas de Produção Agrícola - PPGASP e nos cursos de Ciências Contábeis e Administração em Agronegócio. Possui experiência em contabilidade e administração e tem como temas de pesquisas: frutos nativos do cerrado, valoração ambiental, custos ambientais e análise econômica.  https://orcid.org/0000-0001-9786-9607.",23-02-2022,Universidade do Estado de Mato Grosso,https://orcid.org/0000-0001-9786-9607,841500000008,20,processo produção abacaxi estudo tangará serramt
5401789813032087,Emissões de gases de efeito estufa durante o alojamento de frangos de corte sob cama reutilizada,Capítulo de livro publicado,2021,,Português,Coletânea de Fatores de Emissão e Remoção de Gases de Efeito Estufa da Pecuária Brasileira,MAPA,9786586803334,"['Graciele Angnes', 'Paulo Armando Victoria de Oliveira', 'Thiago Libório Romanelli']","['1', '2', '3']",3,"['', '', '']",Thiago Libório Romanelli,Romanelli,"ROMANELLI, T. L.;Romanelli, Thiago L.;Romanelli, Thiago Libório;ROMANELLI, THIAGO;Libório Romanelli, Thiago",Piracicaba,SP,"Professor Titular do Departamento de Engenharia de Biossistemas (LEB), Esalq/USP. Atua nos temas: Fluxos de Materiais e de Energia em Sistemas de Produção, Sustentabilidade, Análises de Ciclo de Vida e Viabilidade econômica de adoção de tecnologia. É Engenheiro Agrônomo pela Universidade de São Paulo (2000), mestre em Máquinas Agrícolas pela Universidade de São Paulo (2003) e doutor em Recursos Florestais pela Universidade de São Paulo (2007), tendo sido Research Associate do Center for Environmental Policy da University of Florida (2005-2006),  Professor Doutor (2008-2013) e Livre Docente em Mecânica e Máquinas Motoras pela Universidade de São Paulo (2013) . Fulbright Scholar - Cátedra de Ciências Agrárias na University of Nebraska/Lincoln (2017). Foi Chefe e Vice-Chefe do LEB, Presidente da Comissão de Relações Internacionais, Coodenador de Curso de Graduação, Vice-Diretor do Centro de Informática &quot;Luiz de Queiroz&quot; e atualmente é Presidente da Comissão de Graduação e Presidente da Comissão de Administração, Orçamento e Patrimônio da Esalq/USP.",21-11-2023,Universidade de São Paulo,https://orcid.org/0000-0001-5407-9031,006700000002,15,emissões gases efeito estufa durante alojamento frangos corte sob cama reutilizada
0662049068666562,"PERFIL SOCIOECONÔMICO, PRODUTIVO E COMERCIAL DOS PRODUTORES DE FRUTAS E HORTALIÇAS EM TANGARÁ DA SERRA ¿ MT: PARA DESENVOLVIMENTO DE FERRAMENTAS DIGITAIS",Capítulo de livro publicado,2021,10.37885/210504737,Português,CIÊNCIAS AGRÁRIAS: O AVANÇO DA CIÊNCIA NO BRASIL,Editora Cientìfica,9786589826,"['Nunes, Letícia Graziella Teixeira', 'Krause, Willian', 'Cleci Grzebieluckas', 'Gotardo, Débora Luiza Fontana']","['1', '2', '3', '4']",3,"['', '', '', '']",Cleci Grzebieluckas,Grzebieluckas,"GRZEBIELUCKAS, Cleci;Grzebieluckas, Cleci",Descanso,SC,"Bacharel em Ciências Contábeis pela Universidade do Estado de Mato Grosso -UNEMAT (2006),Mestre em Administração de Empresas pela Universidade do Vale do Itajaí - UNIVALI (2007), Doutora em Engenharia de Produção pela Universidade Federal de Santa Catarina - UFSC (2010). Professora adjunta na Universidade do Estado de Mato Grosso - UNEMAT Campus de Tangará da Serra MT, ministra  aulas no  Programa de Mestrado em Ambiente e Sistemas de Produção Agrícola - PPGASP e nos cursos de Ciências Contábeis e Administração em Agronegócio. Possui experiência em contabilidade e administração e tem como temas de pesquisas: frutos nativos do cerrado, valoração ambiental, custos ambientais e análise econômica.  https://orcid.org/0000-0001-9786-9607.",23-02-2022,Universidade do Estado de Mato Grosso,https://orcid.org/0000-0001-9786-9607,841500000008,22,perfil socioeconômico produtivo comercial produtores frutas hortaliças tangará serra ¿ mt desenvolvimento ferramentas digitais
0662049068666562,MATO GROSSO TAMBÉM PRODUZ FLORES TROPICAIS: UM ESTUDO DOS ASPECTOS DE PRODUÇÃO E COMERCIALIZAÇÃO,Capítulo de livro publicado,2020,,Português,"Diálogos sobre Administração Pública, Gestão Estratégica e Inovação",e Publicar,9786587207247,"['Sidelaine da Silva Costa Ventura', 'Josiane S Costa do Santos', 'Bethânia Batista Carneiro Da Silva', 'Cleci Grzebieluckas', 'Graziele Oliveira Aragão']","['1', '2', '3', '4', '5']",4,"['', '', '', '', '']",Cleci Grzebieluckas,Grzebieluckas,"GRZEBIELUCKAS, Cleci;Grzebieluckas, Cleci",Descanso,SC,"Bacharel em Ciências Contábeis pela Universidade do Estado de Mato Grosso -UNEMAT (2006),Mestre em Administração de Empresas pela Universidade do Vale do Itajaí - UNIVALI (2007), Doutora em Engenharia de Produção pela Universidade Federal de Santa Catarina - UFSC (2010). Professora adjunta na Universidade do Estado de Mato Grosso - UNEMAT Campus de Tangará da Serra MT, ministra  aulas no  Programa de Mestrado em Ambiente e Sistemas de Produção Agrícola - PPGASP e nos cursos de Ciências Contábeis e Administração em Agronegócio. Possui experiência em contabilidade e administração e tem como temas de pesquisas: frutos nativos do cerrado, valoração ambiental, custos ambientais e análise econômica.  https://orcid.org/0000-0001-9786-9607.",23-02-2022,Universidade do Estado de Mato Grosso,https://orcid.org/0000-0001-9786-9607,841500000008,21,mato grosso produz flores tropicais estudo aspectos produção comercialização
0662049068666562,INDICADORES DE DESENVOLVIMENTO SOCIECON}OMICO NA PORÇÃO MATO-GROSSENSE DA BACIA DO ALTO PARAGUAI NOS ANOS DE 2000 E 2010,Capítulo de livro publicado,2021,10.51497/0000112,Português,As Ciências Socias Aplicadas e as Suas Reflexões,Editora Reflexão Acadêmica,9786589826,"['Stéfany França da Silva', 'Rivanildo Dallacort', 'Willian Krause', 'Cleci Grzebieluckas']","['1', '2', '3', '4']",4,"['', '', '', '']",Cleci Grzebieluckas,Grzebieluckas,"GRZEBIELUCKAS, Cleci;Grzebieluckas, Cleci",Descanso,SC,"Bacharel em Ciências Contábeis pela Universidade do Estado de Mato Grosso -UNEMAT (2006),Mestre em Administração de Empresas pela Universidade do Vale do Itajaí - UNIVALI (2007), Doutora em Engenharia de Produção pela Universidade Federal de Santa Catarina - UFSC (2010). Professora adjunta na Universidade do Estado de Mato Grosso - UNEMAT Campus de Tangará da Serra MT, ministra  aulas no  Programa de Mestrado em Ambiente e Sistemas de Produção Agrícola - PPGASP e nos cursos de Ciências Contábeis e Administração em Agronegócio. Possui experiência em contabilidade e administração e tem como temas de pesquisas: frutos nativos do cerrado, valoração ambiental, custos ambientais e análise econômica.  https://orcid.org/0000-0001-9786-9607.",23-02-2022,Universidade do Estado de Mato Grosso,https://orcid.org/0000-0001-9786-9607,841500000008,23,indicadores desenvolvimento socieconomico porção matogrossense bacia alto paraguai anos 2000 2010
